#MainID,SubID,StringID,String
#Basic
5,0,25,%1%s%2%d/%3%d\n
5,0,26,　%d
5,0,27,* AC *%1%d/%2%d
5,0,28,%d %%
5,0,29,sound/PC/%04d/PC_%03d.ogg
5,0,30,interface/load/%07d.dds
5,0,31,interface/partner/%07d_%02d.dds
5,0,32,%s pt
5,0,33,interface/partner_frame/%04d.dds
5,0,34,%s sheets
5,0,35,%d seconds

#Map name related
#Country name
10,1,1,Kingdom of Diment
10,1,2,Quapati Legal Institute
10,1,3,Hersant Federation
10,2,1,Entering a sealed chamber…
10,2,2,Guardian's Astral Discipline Area
10,2,3,Union Room
10,2,4,Unknown
10,3,1,Euclid's Infinite Corridor

#Region name
11,1,1,Port town Il Faro
11,1,2,Il Faro Magic Bureau
11,1,3,Old underground waterway
11,1,4,Il Faro Training Center
11,1,5,Sangent Ruins
11,1,6,Babylim aerial garden
11,1,7,Pseudepigrapha Labyrinth
11,1,8,Azzam's Trial Ground
11,1,9,Execution ground
11,1,10,Adventurer training facility
11,1,11,Guardian's Gate
11,1,12,Caligulase sewer
11,1,13,Deltis Okura Room
11,1,14,Aria River Reservoir
11,1,15,Kaoka Parazi Ruins
11,1,16,Yellow Dragon Temple Trace
11,1,17,Chicol Castle Ruins
11,1,18,Temple of Oblivion
11,1,19,Remains of the ritual site of the descendants
11,1,20,Rosawald Submerged Fort
11,1,21,Azzam's Trial Ground
11,1,22,Devastated yard
11,1,23,Dark round table
11,1,24,No. 13 facility
11,1,25,Underground dragoon ruins
11,1,26,Labyrinth of the Abyss
11,1,27,Battlefield
11,1,28,Concealed battlefield
11,1,29,Dum Spielow Speylow
11,1,30,Capital city Itox
11,1,31,Deep underground dragoon ruins
11,1,32,Dream Trial Ground
11,1,33,Grim Reaper's Stomach
11,1,34,Ruins of Lot Hardy
11,1,35,Land of turmoil
11,1,36,House of lust and lewdness
11,1,37,Blue cave
11,1,38,Chaotic Strase
11,1,39,November dungeon
11,1,40,Labyrinth of Sharde
11,1,41,Dimensional gap
11,1,42,Nozomi: Capital Itox
11,2,1,Interpersonal exercise facility
11,2,2,M.A.C.
11,2,3,Special venue
11,2,4,Euclid's Infinite Corridor
11,2,5,Juliana's playground
11,3,1,Raven Antile
11,3,2,Miskatonic University Branch
11,3,3,Il Van Bole Mine
11,3,4,Mad King's Trial Ground
11,3,5,Crazy House
11,3,6,Mad King's Trial Ground 2
11,80,1,Labyrinth of the beginning
11,80,11,Labyrinth of reincarnation
11,80,21,The daily life of an explorer
11,80,22,Abyss
11,80,23,Dragon's nest
11,80,24,Labyrinth of the Immortal
11,80,25,Crazy alchemist abandoned house
11,80,71,Infinite corridor of ashes and illusions
11,99,99,New composition dungeon
11,100,1,Union room

#Floor name
12,1,1,Square where heroes gather
12,1,2,A harbor leading to the eternal ocean
12,1,3,Alleys out of reach of light
12,1,4,Freedom and bustling market
12,1,5,The street where fierce and wise men talk about their dreams
12,1,6,Angelfish Street
12,1,7,Alleys of those who accepted the darkness
12,1,8,The road where the Holy Knight swore allegiance
12,1,9,Between knowledge and quest
12,1,10,Mobile training center
12,1,11,Combat training center
12,1,12,Trial ground
12,1,13,A hall where bonds gather
12,1,14,entrance
12,1,15,A true adult social gathering place
12,1,16,Foreign country: Square where heroes gather
12,2,1,1st basement floor
12,2,2,2nd basement floor
12,2,3,3rd basement floor
12,2,4,4th basement floor
12,2,5,5th basement floor
12,2,6,6th basement floor
12,2,7,7th basement floor
12,2,8,8th basement floor
12,2,9,9th basement floor
12,2,10,10th basement floor
12,2,11,Passage to the second basement floor
12,2,12,Passage to the 3rd basement floor
12,2,13,Between distorted lives
12,2,14,Adventurer's entrance
12,2,15,Planned treasure hall
12,2,16,Water tank
12,2,17,Deep region
12,2,18,The room of the person who prevented the opening
12,3,1,Traveler's constant outer gate
12,3,2,Devastated corridor
12,3,3,Forgotten alley
12,3,4,Lake Temple
12,3,5,Grand Canal trace
12,3,6,Dead waterway
12,3,7,Tower of silence
12,3,8,Amphitheater
12,3,9,Bol na Ya Road
12,3,10,Taolu of all wounds
12,3,11,Between Phil Erin
12,3,12,Selective mutism
12,4,1,Inside the castle
12,4,2,Chapel of the soul
12,4,3,Leader's shrine
12,5,1,A gate leading to the depths
12,5,2,Collapsed portico
12,5,3,An underdrain filled with cold veins
12,5,4,Angst altar
12,6,1,Immoral hall
12,6,2,During the bloody ritual
12,7,1,Atypical paradise
12,7,2,Awesome Hall
12,7,3,Deep horror
12,8,1,Decayed Daimon
12,8,2,Isolated hall
12,8,3,Broken corridor
12,9,1,A rotten prison
12,9,2,A vulgar straw mat
12,10,1,Experimental site
12,10,2,Controlled area
12,11,1,Instigate playground
12,11,2,Evil parliamentary hall
12,11,3,The bed of the devil
12,12,1,The scorn of a neglected architect
12,13,1,Dum Spielow Speylow
12,13,2,Ruten no Tou
12,13,3,Crazy ringing
12,14,1,Immature trial
12,14,2,Half-ripe trial
12,14,3,Trials of ripening
12,14,4,Dream soul
12,15,1,Hun and po hunting ground
12,16,1,Closed floor of despair
12,17,1,Collapsed Yotsumoto Corridor
12,17,2,Decaying modern alchemy workshop
12,17,3,Nilda control plot site
12,18,1,Blue tunnel
12,18,2,Deep blue
12,19,1,Closed gate
12,19,2,Old mysterious basket
12,19,3,Center of fluctuation
12,19,4,The depths of the darkness
12,19,5,Dimensional gap
12,20,1,A post town where dusk intersects
12,20,10,Adult social gathering
12,21,1,Contraindicated tabularium
12,21,2,Witch's home
12,22,1,The road leading to the city of sand
12,23,1,Inheritance garden
12,23,2,A rotating hall
12,23,3,Chapel of the Guardian
12,23,4,Sealed old garden
12,23,5,West Berlin Air Corridor leading to Tengen
12,23,6,Sage's Corridor
12,23,7,Guardian's Temple
12,24,1,Red ore tunnel
12,24,2,Deep mine tunnel called red ore
12,24,3,Railroad deposit zone
12,24,4,Deep railway deposit zone
12,25,1,Abandoned house of madman
12,25,2,The Lord's Fushimaden in search of immortality
12,26,1,Reckless slaughterhouse
12,26,2,Bottleneck without returning
12,26,3,Hermit's dead end
12,26,4,Sealed Gate
12,27,1,Upper layer
12,27,2,Middle layer
12,27,3,Bottom layer
12,27,4,Wedge altar
12,50,1,Between duels
12,50,2,Between the mighty duels
12,60,1,Circular training ground
12,60,2,Circular playground
12,61,1,Shooting field
12,62,1,Taiko performance hall
12,80,1,B1F
12,80,2,B2F
12,80,3,B3F
12,80,4,B4F
12,80,5,B5F
12,80,6,B6F
12,80,7,B7F
12,80,8,B8F
12,80,9,B9F
12,80,10,B10F
12,80,11,B11F
12,80,12,B12F
12,80,13,B13F
12,80,14,B14F
12,80,15,B15F
12,80,16,B16F
12,80,17,B17F
12,80,18,B18F
12,80,19,B19F
12,80,20,B20F
12,80,21,B21F
12,80,22,B22F
12,80,23,B23F
12,80,24,B24F
12,80,25,B25F
12,80,26,B26F
12,80,27,B27F
12,80,28,B28F
12,80,29,B29F
12,80,30,B30F
12,90,1,Monster festival

#Part name
13,1,1,Voltac store
13,1,2,Quapati Temple
13,1,3,Adventurer's inn
13,1,4,Adventurer Guild
13,1,5,Gilgamesh bar
13,4,1,Voltac store
13,4,2,Modamas Weapon Shop
13,4,3,Sargil Armor Shop
13,4,4,Magician Junon
13,4,5,Ziddle Blacksmith
13,31,1,Euclid's infinite corridor entrance
13,101,1,Thieves hideout
13,101,2,Sewer
13,101,3,During the feast
13,201,1,Kobold bed
13,201,2,Insect-eating plant colony
13,201,3,Kobold hideout
13,201,4,Black Jewel Altar
13,301,1,Orgy of the Dead
13,301,2,Ajin's graveyard
13,301,3,Guest room
13,301,4,Basement with a rotten smell
13,301,5,Between pet dogs
13,301,6,Between the white jewels
13,401,1,Thieves Firecracker Territory
13,401,2,The hideout of the legendary junk metal troupe
13,401,3,Survey team camp
13,401,4,Execution ground
13,501,1,Yellow Dragon Altar Trace
13,601,1,Pest spawning ground
13,601,2,Market not to sell
13,601,3,Museum of darkness
13,601,4,False safe
13,601,5,Sewage pool
13,602,1,Between loyalty and belief
13,602,2,Fictional dance hall
13,602,3,Hall of mirrors
13,602,4,Survey team camp
13,701,1,Between reincarnation
13,701,2,Between the balance
13,701,3,Altar of the soul
13,801,1,Survey team base camp
13,801,2,Blue Feather Management Zone
13,801,3,Balboa Family Territory
13,802,1,Miguel Haguel Market Trace
13,802,2,A hangout for fierce men
13,802,3,A hangout for sub-people
13,802,4,Beastman's hangout
13,802,5,Familiar bed
13,803,1,Zalán Underground Store
13,803,2,Dreamy inn
13,803,3,Underground Arena First Venue
13,803,4,Dark side street
13,803,5,Tsuwamono Highway
13,803,6,Nouveau riche path
13,803,7,Adult social gathering
13,803,8,Poker Land
13,803,9,Underground Arena Second Venue
13,803,10,Fairy path
13,803,11,Underground Arena Third Venue
13,803,12,Entrance to the underground dragoon ruins
13,901,1,Dum Spielow Speylow
13,902,1,DECAYED CROW
13,902,2,THE BLOSSOMING BEELZEBU
13,902,3,Akatsuki
13,902,4,"DREAM BOX in the greed or the idea of ​​maturity and cold rain"
13,902,5,Dripping stunned
13,1001,1,Gate certification management room
13,1012,1,Waste disposal site
13,1021,1,Immature sunflower “The Sun”
13,1021,2,Immature Akatsuki “Red Moon”
13,1021,3,Immature heaven “The Sky”
13,1021,4,Cemetery
13,1022,1,Half-ripe sunflower “The Sun”
13,1022,2,Half-ripe Akatsuki “Red Moon”
13,1022,3,Half-ripe heaven “The Sky”
13,1023,1,Ripe sunflower “The Sun”
13,1023,2,Ripe Akatsuki “Red Moon”
13,1023,3,Ripe heaven “The Sky”
13,1023,5,The end of the illusion
13,1031,1,Power spot
13,1031,2,Fountain of Sacrifice [Order]
13,1031,3,Fountain of Sacrifice [Neutral]
13,1031,4,Fountain of Sacrifice [Chaos]
13,1031,5,Fountain of sacrifice [different person]
13,1032,1,Heart measurement balance [order]
13,1032,2,Heart measurement balance [neutral]
13,1032,3,Heart measurement balance [chaos]
13,1032,4,Heart measurement balance [different person]
13,1042,1,Hell meeting place
13,1043,1,Rabbit hunting ground
13,1043,2,Princess bedroom
13,1055,1,Chimera management area
13,1061,1,A true adult social gathering place
13,1061,2,Torture room
13,1061,3,Secret basement
13,1061,4,Library
13,1061,5,Large dining room
13,1061,6,Guest room
13,1071,1,To the Kingdom of Dimento
13,1071,2,No man's land
13,1071,3,To Hersant Federation
,,.,
#Dungeon selection description (provisional)
11,99,0,"In the vicinity of Itox, the capital of the Kingdom of Dimento, \n there is an underground waterway that was drawn from the Aria River. \n \nIt has been expanding for many years. There are also routes that are no longer used\n \nThe number of adventurers has increased due to the recent turmoil. \nIt has become difficult to secure a water source. Plans to regenerate the waterway ... \nHowever, it turns out that there is a passage under the waterway that I have never seen \n, and strangers have begun to spring up from that passage \n"
11,99,1,"An incident has begun to occur in the neighborhood of the Kingdom of Dimento, where people suddenly disappear. \n \nIt was the beginning of the ""spirited away incident"". \n \nHidden with a yellow rope in this neighborhood\nA group of evil spirits have also been witnessed\n"
11,99,2,"A labyrinth created by a technician named Azzam to train an adventurer apprentice \n \nHowever, Azzam suddenly disappeared without waiting for the completion of the trial ground\n \n After that, the real purpose of this place was \n rumors that Azzam was to hide and dwell, \n and people began to speak honestly \n \nbecause from the depths of the ordeal. \nBecause you can hear something like a man's cry \n"
,,.,
#Dungeon difficulty
14,0,1,Easy
14,0,2,Normal
14,0,3,Hard
14,1,1,E
14,1,2,N
14,1,3,H

#From here, commonly used strings
#Occupation name (in order of wo :: common :: CHARA_JOB)
50,0,0,Fighter
50,0,1,Thief
50,0,2,Mage
50,0,3,Priest
50,0,4,Samurai
50,0,5,Ninja
50,0,6,Bishop
50,0,7,Road
50,0,8,Crown
50,0,9,Alchemist
50,0,10,Monk
50,0,11,Berserker
50,0,12,Psionic
50,0,13,Bird
50,0,14,Machinist
50,1,0,FIG
50,1,1,THI
50,1,2,MAG
50,1,3,PRI
50,1,4,SAM
50,1,5,NIN
50,1,6,BIS
50,1,7,LOR
50,1,8,CLO
50,1,9,ALC
50,1,10,
50,1,11,
50,1,12,



# Commandment name (in order of wo :: common :: ALIGNMENT_TYPE)
50,2,0,order
50,2,1,Neutral
50,2,2,chaoschaos
50,2,10,Law
50,2,11,Neu
50,2,12,Cha

#Ability score name (in order of wo :: common :: CHARA_ABILITY)
50,3,0,STR
50,3,1,VIT
50,3,2,DEX
50,3,3,AGI
50,3,4,INT
50,3,5,PIE
50,3,6,LUK
50,4,0,Muscle strength
50,4,1,Vitality
50,4,2,Dexterity
50,4,3,agile
50,4,4,Intelligence
50,4,5,Faith
50,4,6,Good luck

#Classification name (in order of wo :: common :: EQUIPMENT_SLOT)
50,5,0,right hand
50,5,1,left hand
50,5,2,Quiver
50,5,3,Head
50,5,4,Torso
50,5,5,leg
50,5,6,arm
50,5,7,leg
50,5,8,Cloak
50,5,9,ring ring
50,5,10,Earrings
50,5,11,Necklace
50,5,12,band
50,5,13,Token ring 1
50,5,14,Avatar head
50,5,15,Avatar torso
50,5,16,Avatar legs
50,5,17,Avatar arm
50,5,18,Avatar feet
50,5,19,Avatar cloak
50,5,20,Token ring 2
50,5,21,Token ring 3
50,5,22,Token ring 4
50,5,23,Token ring 5
50,5,24,Token ring 6


#Quality name
# 50,6,0,Low
# 50,6,1,common
# 50,6,2,Good
# 50,6,3,Takumi
# 50,6,4,Den
# 50,6,5,Special
# 50,6,6,poor
# 50,6,7,normal
# 50,6,8,good
# 50,6,9,master master
# 50,6,10,Legend
# 50,6,11,Artifact


#Race name (in order of wo :: common :: CHARA_RACE)
50,7,0,HUM
50,7,1,ELF
50,7,2,DWA
50,7,3,POR
50,7,4,GNO



#Race name (in order of wo :: common :: CHARA_SEX)
50,8,0,♂
50,8,1,♀

#Other
50,10,0,gold
50,10,1,Skill points
50,10,2,Experience point
50,10,3,×
50,10,4,Quantity
50,10,5,Open file
50,10,6,Save to file
50,10,7,Failed to read the file.
50,10,8,Failed to save the file.
50,10,9,Gold
50,10,10,Amount of money
50,10,11,Get the title!
50,10,12,OK
50,10,13,Cancel
50,10,14,Drop an item here
50,10,15,Illegal behavior has been detected. Disconnect
50,10,16,Drop skills here
50,10,17,Illegal operation has been detected. Force quit the game.
50,10,18,"""%s"""
50,10,19,\n
50,10,20,SPHERE
50,10,21,RECT
50,10,22,BOX
50,10,23,cancel
50,10,24,POS_S
50,10,25,POS_E
50,10,26,DOOR_L
50,10,27,DOOR_R
50,10,28,GENERIC
50,10,29,MAIN
50,10,30,SUB
50,10,31,???
50,10,32,0
50,10,33,0
50,10,34,(
50,10,35,)
50,10,36,?? ?? ??
50,10,37,FPS:%.2f%s%s
50,10,38,FPS:%.2f
50,10,39,FPS:%.2f VRAM:%dMB
50,10,40,○○
50,10,41,list
50,10,42,MAIN-MSG
50,10,43,SUB-MSG
50,10,44,/
50,10,45,~
50,10,46,** AnimID **
50,10,47,%%
50,10,48,<color PARAM_UP2>%</color>
50,10,49,<color PARAM_DN2>%</color>
50,10,50,＋
50,10,51,---

#Battle related
60,0,0,Combo Bonus!








#Strings related to systematic item operations
85,0,0,To
85,0,1,Use the. </br> Are you sure?
85,0,2,I want to use
85,0,3,Please select an item
85,0,4,Please drop it on the item
85,0,5,The item has already been assessed and has no effect when used
85,0,6,Cannot be used for stack items
85,0,7,The item cannot be used for unidentified items
85,0,8,Can only be used with equipment
85,0,9,"The durability of%s is not reduced by 100%, so it cannot be used."
85,0,10,"The item already has a root prohibition attribute, so it has no effect"
85,0,11,Cannot be used for items with the root prohibition attribute
85,0,12,The item cannot be trained


#Strings for unidentified items

90,0,0,unknown



#Item description column for unidentified items
90,10,0,It is an unidentified item.


#Add to the item name of the unidentified item
90,20,0,%s


#From here, UI definition string
100,0,0,User interface
100,0,1,Yes
100,0,2,No
100,0,3,Decision
100,0,4,Cancel
100,0,5,cancel
100,0,6,OK
100,0,7,Cancel
100,0,8,close
100,0,9,Return
100,0,10,Consent
100,0,11,Reject
100,0,12,/
100,0,13,Change

#Test window related
100,10,0,Trial window
100,10,1,Edit
100,10,2,button
100,10,3,SampleEdit
100,10,4,List item:%d
100,10,5,Buttons & Buttons & Strings Long test buttons! Evil
100,10,6,Gauge increase

#Equipment test window related
100,15,0,Equipment test
100,15,1,None
100,15,2,Search designation
100,15,30,[%s] \nPlease select the item to equip
100,15,31,[%s] \nPlease enter the item ID or item name
100,15,50,%s-%08d:%s
100,15,51,%s-%s
100,15,52,%08d-%s
100,15,100,Normal equipment
100,15,101,Avatar

#Reduced inventory related
100,20,0,sort
100,20,1,Money in possession
100,20,2,%1%d/%2%d
100,20,3,Trash can
100,21,0,Do you want to discard%s?
100,21,1,How many%s do you want to discard?
100,21,2,%s cannot be discarded.
100,21,3,How many%s do you want to move?
100,21,4,Discarded%s.
100,21,5,"The item you are trying to destroy is one of the following: \n \n-Items with quality ""Master, Epic, Legend, Artifact"" \n-Items strengthened by training \n-Items with gems attached to gem sockets \n- Sei Kom Amulet or Sogo Medal Items with the effect of \n \n ・ Avatar items \n ・ Special soul partner cards \n ・ Soul partner cards with a maximum level of 25 or higher \n \nAre you sure you want to discard them ??"
100,21,6,"The item you are trying to destroy is one of the following: \n \n-Items with quality ""Master, Epic, Legend, Artifact"" \n-Items strengthened by training \n-Items with gems attached to gem sockets \n- Special soul partner card\n- Soul Partner Card with a maximum level of 25 or higher \n \nAre you sure you want to discard it?"
100,22,0,Detail View
100,23,0,"Once this equipment is equipped, it cannot be transferred to other players. \n Do you want to equip it?"
100,23,1,"In the soul state, you cannot operate the inventory."
100,23,2,The bag is not equipped.
100,23,3,The bag cannot be put back in the same bag.
100,23,4,The Diment Medal has expired. \nThe Medal with Diment can be purchased at the Royal Shop.
100,23,5,Items cannot be operated on this screen
100,23,6,The bag containing the item cannot be moved.
100,23,7,Items cannot be discarded while trading.
100,23,8,Items cannot be obtained in the soul state.
100,23,9,You will not be able to move to the Premium Bag because the Medal with Diment has expired.
100,23,10,Items in the Premium Bag cannot be used because the Medal with Diment has expired.
100,23,11,Please throw it out of the trash during the shop.
100,23,12,Items cannot be moved while operating the stall.
100,23,13,Only avatar equipment can be included in the avatar inventory.
100,23,14,"I created this item myself, do you really want to use it?"
100,23,15,"The%2%s that can be obtained using ""%1%s"" does not correspond to this character."
100,23,16,"Use ""%1%s"" to get%2%s. \n Are you sure?"
100,23,17,* The released parts can be used by characters in Seoul. * Please use the character arrangement salon to set the released parts.
100,23,18,"""%s"""
100,23,19,Items cannot be withdrawn because the premium bag has expired.
100,23,20,The EX bag slot has not been released.
100,24,0,-%1%s-%2%s
100,24,1,Ⅰ
100,24,2,Ⅱ
100,24,3,Ⅲ
100,24,4,Ⅳ
100,24,5,V
100,24,6,VI
100,24,7,VII
100,24,8,VIII
100,24,9,IX
100,24,10,X
100,24,11,
100,24,12,
100,24,13,
100,24,14,
100,24,15,
100,25,0,Buy a bag slot
100,25,1,EX bag shop
100,29,99,12345678901234567890
100,29,100,Adventurer's bag
100,29,101,Premium bag
100,29,102,Avatar inventory

#Shop window related
100,30,0,"Weapon shop ""Voltackle !!"""
100,30,1,No use
100,31,0,Do you want to change%1%s to \n%2%s?
100,31,1,%s price
100,31,2,%s number
100,31,3,
100,31,4,%s Change the number
100,31,5,%s
100,31,6,Stop
100,31,7,How many%s do you want?
100,31,8,%d
100,31,9,%s G
100,31,10,The number of possession 
100,31,11,%d
100,31,12,/Warehouse 
100,31,13,Would you like to repair%s? \n Repair costs
100,31,14,Would you like to repair the equipped items in bulk? \n Repair costs
100,31,15,total fee
100,31,16,Repair costs%d G
100,31,17,Training cost%d G
100,31,18,%lld/%lld
100,31,19,SOULD OUT!
100,32,0,Discipline
100,32,1,Purchase
100,32,2,sale
100,32,3,Appraisal
100,32,4,Repair
100,32,5,Dispel
100,32,6,Sale on behalf of
100,35,0,G
100,35,1,P
100,35,2,Sheet
100,38,0,All Items
100,38,1,Products that can be equipped
100,38,2,%s
100,38,10,All possessed items
100,38,11,weapon
100,38,12,Armor
100,38,13,tool
100,38,14,Unidentified product
100,38,20,All unidentified items
100,38,21,Unidentified weapon
100,38,22,Unidentified armor
100,38,23,Unidentified tool
100,38,30,Equipment that needs repair
100,38,31,Weapons that need repair
100,38,32,Armor that needs repair
100,38,40,All equipment
100,38,41,weapon
100,38,42,Armor
100,38,50,Show cursed equipment
100,39,0,Insufficient money!
100,39,1,I have a lot of belongings!
100,39,2,Equipped
100,39,3,Insufficient money!
100,39,4,I have a lot of belongings!
100,39,5,You cannot%s what is equipped
100,39,6,%s I don't have what I can do
100,39,7,Over your money!
100,39,8,It was%s!
100,39,9,* The number of unidentified items cannot be changed.
100,39,10,Nothing can be repaired!
100,39,20,"If you're chilling, go home!"
100,39,21,"If you're chilling, go home!"
100,39,30,* The dispelled equipment will disappear.
100,39,31,* Dispelling is only for cursed equipment that has been equipped. \nCursed equipment that is only in your inventory will not be subject to dispelling. \nThe dispelled equipment will disappear.
100,39,40,* \n%s G is deducted as a sales agency fee.
100,39,99,%s cannot
#New shop related
100,33,0,Dispel
100,33,1,Purchase
100,33,2,sale
100,33,3,Appraisal
100,33,4,Repair
100,33,5,Bulk repair
100,33,6,Sale agency
100,33,7,Discipline
100,33,8,Special
100,33,9,Transplant
100,33,10,Arcane
100,33,11,Extraction
100,33,12,base
100,33,13,sub
100,33,14,Extraction
100,33,15,Meal
100,33,16,Exchange
100,33,17,Stall purchase
100,33,18,Street stall sale
100,33,19,Restore
100,33,20,Synthetic
100,33,21,Destruction
100,33,22,Exchange
100,33,23,MAC
100,33,24,Partnering
100,33,25,Gold coins
100,33,26,Silver coin
100,33,100,result result
100,34,0,Purchase
100,34,1,Purchase reset
100,34,2,Purchase list
100,34,3,Money in possession
100,34,4,Total purchase price
100,34,5,sale
100,34,6,Sale reset
100,34,7,Total sale price
100,34,8,Appraisal
100,34,9,Appraisal reset
100,34,10,All appraisal
100,34,11,Total appraisal cost
100,34,12,Repair
100,34,13,Repair reset
100,34,14,All repair
100,34,15,Total repair costs
100,34,16,Possession points
100,34,17,Total exchange points
100,34,18,Exchange
100,34,19,Replacement reset
100,34,20,Exchange list
100,34,21,order
100,34,22,Dispelling reset
100,34,23,All cursed
100,34,24,Total cost of dispelling
100,34,25,Opening of a store
100,34,26,Canceled
100,34,27,Stall
100,34,28,Do you want to close the stall?
100,34,29,Please enter the price
100,34,30,price
100,34,31,Cancellation of listing
100,34,32,Required Police Mata Copper Coin
100,34,33,The number of possession
100,34,34,total number
100,34,35,Grant
100,34,36,Granted to the base
100,34,37,Granted to sub
100,34,50,This item cannot be equipped. \n Can I add it to the purchase list?
100,34,51,%s?
100,34,52,%s stall
100,34,53,You can make up for the shortage of Soul Material with \n [Life%s]
100,34,54,* Please enter the stall name
100,34,55,　%d
100,34,56,Move what can be sold to sell
100,34,57,"Items for sale include one of the following items: \n \n-Items with quality ""Master, Epic, Legend, Artifact"" \n-Items strengthened by training \n-Items with gems attached to gem sockets \n-Sei Kom Amulet or Sogo Guard Medal Items with the effect of \n \n ・ Avatar items \n ・ Special soul partner cards \n ・ Soul partner cards with a maximum level of 25 or higher \n \n Do you really want to sell them?"
100,34,58,This item cannot be equipped. \n Can I add it to the exchange list?
100,34,59,"Items for sale include one of the following items: \n \n-Items with quality ""Master, Epic, Legend, Artifact"" \n-Items strengthened by training \n-Items with gems attached to gem sockets \n-Avatar items \n-Special soul Partner Card\n ・ Soul Partner Card with a maximum level of 25 or higher \n \n Do you really want to sell it?"

100,34,60,Use%s
100,34,61,Train without using a ticket
100,34,62,Do you train using%s?
100,34,63,"I have a reinforced protective stone, but I haven't used it. \n If you continue training as it is, you will lose your equipment if you fail."
100,34,64,MAC point
100,34,65,The number of possession
100,34,66,Grant effect

100,34,80,Reset all
100,34,81,Partnering
100,34,82,Card to partner

100,36,0,Durability%1%d/%2%d
100,36,1,Durability%1%d/%2%d
100,36,2,Number of uses%1%d/%2%d

100,36,100,close

100,37,0,grade
100,37,1,effect
100,37,2,C
100,37,3,B
100,37,4,A
100,37,5,S

#Item balloon related
100,40,0,Item name
100,40,1,+%d

#Character Arrange Salon Related
100,45,0,CHARACTER ARRANGE SALON
100,45,1,Decision
100,45,2,reset
100,45,3,Display switching
100,45,4,Audition
100,45,5,background
100,45,6,No equipment
100,45,7,Avatar

100,45,11,Do you want to release%s?
100,45,12,"* The released parts can be used by characters in Seoul. \n \nIf you choose to cancel, ""%s"" will be inventoryed as a \n item."

100,45,21,"You can unlock your voice by getting a \n ""Voice Exchange Ticket"" from the ""Voice Sphere"" where items appear randomly."
100,45,22,"You can also purchase ""Voice Sphere"", which is a great deal of 5 pieces, from the Royal Shop."
100,45,23,"* ""Voice exchange ticket"" can be exchanged for voices excluding \n limited voices from the character arrangement salon clerk. \n * The released voice can be used by characters in Seoul. \n * Limited voices cannot be exchanged with the ""Voice Exchange"" Ticket ""."

