#,#serialid,name,info (description),Icon ID,Admission map ID,Pull-down display order
#,1,2,3,,,
#,1,2,3,4,5,6
60100414,Flame thunder bill,A handprint with the coat of arms of flame thunder.,60100174,,,
60100415,Arrow bills,A handprint with the coat of arms of the arrow.,60100174,,,
60100416,Transfer bill,A handprint with the coat of arms of the transfer.,60100174,,,
60100417,Torch of prison flame,A torch that is said to be able to carry prison flames. \ n It doesn't seem to be on fire right now.,11000101,,,
60100418,Torch of prison flame [hunger],A torch lit by the prison flame of hunger. \ n An orange flame is lit.,11000101,,,
60100419,Torch of prison flame [accommodation],A torch lit by the prison flame of the inn. \ n A light blue flame is lit.,11000101,,,
60100420,Torch of prison flame [indecent],A torch lit by a lewd prison flame. \ n A purple flame is lit.,11000101,,,
60100421,Torch of prison flame [Deep],A torch lit by a deep-seated prison flame. \ n A black flame is lit.,11000101,,,
60100422,Hell Recipe: Hors d'oeuvre,"A recipe that describes three hellish hors d'oeuvres. \ n However, it is written in characters that humans cannot understand.",60100131,,,
60100423,Hell recipe: main dish,"A recipe that describes the three main dishes of hell. \ n However, it is written in characters that humans cannot understand.",60100131,,,
60100424,Hell recipe: dessert,"A recipe that describes three hellish desserts. \ n However, it is written in characters that humans cannot understand.",60100131,,,
60100425,Kobold droppings,Literally Kobold droppings. \ n It seems that there is also demand as a material for signal smoke.,60100101,,,
60100276,Underground store membership card,A membership card required to shop at the underground store in Zalán. \ n It seems that there is no problem with what you pick up ..,60100114,,,
60100277,Bottle ship model,A figurine with a model of a ship in a bottle. \ n A fine sailing ship is housed in the bottle.,60100112,,,
60100285,Cracked cameo,"An elaborately carved cameo that looks good. \ n However, there are cracks ...",60100119,,,
60100286,Lady cameo,An elaborately carved cameo that looks good. \ nIt has been successfully repaired and \ nhas regained its original beauty.,60100119,,,
60100288,Diamond ring,"A ring with a simple design. \ n Therefore, the beauty of diamonds stands out. \ n There seems to be no girl who is not happy to receive this.",30100104,,,
60100192,Minette Jewel,"""Make me one with my sister ...""",60100142,,,
60100193,Lynette Jewel,"""Make me one with my sister ...""",60100145,,,
60100204,Decayed stake,"It's a huge stake. \ n However, it is rusted and \ nit is unlikely to be used for its intended purpose.",60100126,,,
60100205,Dirty mirror,It's a mirror about the size of a shield. \ nBut it's so dirty \ n this won't show anything.,60100175,,,
60100206,Shriveled holy water,"Originally it was holy water purified in the church. \ n However, it seems to be in poor storage condition \ n and the contents have acid-like properties.",60100150,,,
60100242,Silver-white mass,The material of the catalyst that Dragoon used for alchemy. Its usage is \ n lost now.,60100101,,,
60100243,Light yellow mass,The material of the catalyst that Dragoon used for alchemy. Its usage is \ n lost now.,60100101,,,
60100244,Glittering liquid,The material of the catalyst that Dragoon used for alchemy. Its usage is \ n lost now.,60100112,,,
60100245,White powder,An alchemical catalyst created by synthesizing three types of materials. It works from time to time.,60100108,,,
60100251,Deep purple spring water,"Deep purple turbid water. \ n ""Freedom is the flip side of self-reliance,"" \ n in ancient Rosawald warned those who sought freedom.",60100183,,,
60100253,Blue spring water,"Clear blue water. \ nIn Rosawald, where order and discipline were needed by those who kept the fort, \ nblue water was revered.",60100182,,,
60100255,Key to the entrance during the dispelling,The key needed to open the gate of the \ n passage leading to the room for the dispelling ritual.,60100104,,,
60100256,Transparent board key,"A transparent board that came out of the release key issuing device. \ n It's a mystery what it's made of thin, transparent, and hard. \ n A mysterious pattern is drawn.",60100114,,,
60100258,Dragon head ritual equipment,A stone statue that imitates the head of a dragon. \ n It seems that it was used for festivals.,60100129,,,
60100259,Magical medicine,"A very effective drug. \ n If you drink this, it's perfect!",60100112,,,
60100260,Scarlet jewel,A jewel found in the ruins of Dragoon. \ n It has a very beautiful scarlet color.,60100145,,,
60100263,Faded regret,"The last thing left was regret. \ n It never ends, \ n no salvation is brought forever.",60100141,,,
60100264,Reverberation of mourning,"It's the fear of sinners, it's the mourning of sinners. \ nEven if fear goes away, \ neverything is no longer saved.",60100142,,,
60100176,Balboa currency,\ N Coins that only circulate within the Balboa family. The money itself is not worth it.,50400201,,,
60100177,Curtis wedding ring,A ring given by investigator Curtis to his late wife.,30100101,,,
60100225,L-shaped tool,A tool used to open and close something.,60100117,,,
60100226,Rusted gear,"Gears removed from the wreckage of a machine. \ n It seems that it can be used for repairing Kurosuke and others. \ n But it's quite rusty, whether it's useful or not ...",60100105,,,
60100227,Shiny gears,Gears removed from the wreckage of a machine. \ n It seems that it can be used for repairing Kurosuke and others. \ n It's just like a shiny new one that has been thoroughly polished.,60100105,,,
60100289,Innoverci pattern key,A key with an Innoverci pattern engraved on the handle.,60100104,,,
60100290,Innovertivotoka,Sake produced among Innoverci. \ n Very strong.,60100147,,,
60100291,Calcosas coat of arms,A coat of arms given to those who belong to the Calcosus school of Innoverci.,60100113,,,
60100292,McDoon coat of arms,A coat of arms given to those who belong to the McDoon school of Innoverci.,60100113,,,
60100293,Innoverch notes,"""649982""",60100118,,,
60100294,Right hand key,A key in the shape of the dark angel's right hand.,60100104,,,
60100295,Roasted memo,"""36499827""",60100118,,,
60100296,Left hand key,A key in the shape of the dark angel's left hand.,60100104,,,
60100297,Innoverch Token Ring,"A ring that allows the wearers to talk to each other. \ nHowever, only with Innovelch members \ n is possible.",70000201,,,
60100298,Yellow robe skeleton,A piece of yellow Boroi cloth.,60100111,,,
60100435,Humanoid skull,A well-conditioned skull recovered from a humanoid skeletal corpse.,60100110,,,
60100436,Mysterious meat mass,"I'm not sure, but it looks like a fleshy sphere.",60100109,,,
60100437,?? Raw neck,A sphere of meat that is suitable for being evaluated as a poorly made neck.,60190001,,,
60100438,Gaudin's neck,"""Connoisseur"" Gaudin's neck. \ n The expression tells the end of fear.",60100101,,,
60100439,Light angel statuette,A statuette shaped like a light angel.,60100129,,,
60100440,Statue of Dark Angel,A statuette shaped like a dark angel.,60100129,,,
60100441,Statue of Shinryu,"A statuette modeled after a Shinryu. \ nIt's a little bigger than other statuettes, \ nit seems to be intentionally made to look bad.",60100129,,,
60100442,Statue of a different god,A statuette modeled after a different god that emerged from the statuette of the god dragon. \ n It looks great with aesthetic value.,60100106,,,
60100443,Key of the first section,The key to the first section of the Sangent Ruins.,60100104,,,
60100444,Chimera control parcel key,A key to enter and exit the area that manages Chimera.,60100169,,,
60100445,"""Connoisseur"" Talk Ring","A ring that allows the wearers to talk to each other. \ n You can talk to ""Connoisseur"" Gaudin.",70000201,,,
60100446,Fusion decay factor,"A factor that can improve immunity that excludes heterologous genes. \ n Aligned by the ""connoisseur"" for \ n vs. First Chimera.",60100121,,,
60100449,Talisman of order,Amulet for passing through the barrier of order.,60100119,,,
60100450,Neutral talisman,Amulet for passing through a neutral barrier.,60100119,,,
60100451,Chaos Talisman,Amulet for passing through the chaos barrier.,60100119,,,
60100452,Different Talisman,Amulet for passing through different barriers.,60100119,,,
60100453,Fragment of water emblem,One half of the emblem in the shape of water.,60100158,,,
60100454,Fragment of the flame emblem,One half of the emblem in the shape of a flame.,60100162,,,
60100455,Fragment of the earth emblem,One half of the emblem in the shape of the earth.,60100259,,,
60100456,Atmospheric emblem fragment,One half of the emblem in the shape of the atmosphere.,60100163,,,
60100303,Duelist crystal ball,A crystal ball with a sword and shield pattern engraved inside. \ n How was it made?,60100103,,,
60100304,Dragon Blood Crystal Ball,A crimson crystal ball that is said to have turned red by absorbing the blood of a dragon.,60100145,,,
60100305,Evil crystal ball,A crystal ball used by Innoverci for ceremonies. \ nThe Innoverch coat of arms is \ n engraved inside.,60100103,,,
60100306,Crystal ball of another dimension,A crystal ball that is said to have come from another dimension. \ n I don't think it was made naturally \ n A suspicious pattern is swirling.,60100103,,,
60100728,Crystal ball of the old spirit beast,A crystal ball that is said to have housed the spirit beast that Ajin worshiped.,60100141,,,
60100729,Guardian's crystal ball,A crystal ball with a guardian pattern engraved on it. \ n It's strangely calming to have.,60100142,,,
60100730,Tablet with fire emblem,A stone plate engraved with the coat of arms of fire.,60100306,,,
60100731,Tablet with water emblem,A stone board with the water emblem engraved on it.,60100307,,,
60100732,Tablet with wind emblem,A stone board engraved with the wind emblem.,60100308,,,
60100733,Tablet with the coat of arms of the earth,A stone board with the coat of arms of the ground engraved on it.,60100309,,,
60100737,Harcia's sword,"A legendary sacred treasure that has the power to nullify the magical power of the entire surrounding area. \ nSince it was shattered and then repaired, \ nit seems that it cannot fully exert its power.",10510701,,,
60100738,Corridor signpost,A signpost that illuminates the road followed in the corridor. \ n The corridor is not endless. \ nThe path you have taken will find a new way of life.,60100204,,,
60100739,Harusia's sword handle,"The base of the legendary sacred treasure. \ nIt doesn't have the power to suppress magical power, but \ nit is difficult to restore the sacred treasure without the base.",60100115,,,
62000001,Caligrase sewerage admission permit,A permit required to enter the Caligrase sewer.,60100114,2001101,1,
62000002,Kaoka Parazi Ruins Admission Permit,A permit required to enter the Kaoka Parazi archaeological site.,60100114,2002101,2,
62000003,Chicol Castle Ruins Admission Permit,A permit required to enter the Chicol Castle Ruins.,60100114,2003101,3,
62000004,Deltis Okura Room Admission Permit,A permit required to enter the Deltis storehouse.,60100114,2001103,4,
62000005,Yellow Dragon Temple Ruins Admission Permit,A permit required to enter the Yellow Dragon Temple Ruins.,60100114,2002102,5,
62000006,Aria River Reservoir Admission Permit,A permit required to enter the Aria River Reservoir.,60100114,2001105,6,
62000007,Oblivion Temple Admission Permit,The permit you need to enter the Temple of Oblivion.,60100114,2003102,7,
62000008,Old underground waterway admission permit,A permit required to enter the old underground waterway.,60100114,2001001,8,
62000009,Admission permit to the ruins of the ritual site of the descendants,A permit required to enter the ruins of the ritual site of the descendants.,60100114,2001006,9,
62000010,Rosawald Submerged Fort Admission Permit,The permit required to enter the Rosawald Submerged Fort.,60100114,2002104,10,
62000011,Admission to the Azzam Trial Ground,The permit you need to enter the Azzam Trial Ground.,60100114,2001151,11,
62000012,Desolate yard admission permit,The permit you need to enter the devastated yard.,60100114,2003104,12,
62000013,No. 13 facility admission permit,Permission required to enter Facility No. 13 \ n.,60100114,2004106,13,
62000014,Dark round table admission permit,The permit you need to enter the dark round table.,60100114,2004103,14,
62000015,Sangent Ruins Admission Permit,A permit required to enter the Sangent Ruins.,60100114,2002001,15,
62000016,Lot Hardy Ruins Admission Permit,A permit required to enter the ruins of Lot Hardy.,60100114,2003201,16,
62000017,Land admission permit for swaying fluctuations,A permit required to enter the turbulent land.,60100114,2003107,17,
62000018,Babylim Kuchu Teien Observatory Admission Permit,A permit required to enter the Babylim Kuchu Teien Observatory.,60100114,2003001,18,
62000021,Crazy House Admission Permit,The permit you need to enter the Madness House.,60100114,2006231,19,
62000023,Abyss Labyrinth Admission Permit,A permit required to enter the Labyrinth of the Abyss.,60100114,2001201,20,
62000024,Carralde's Guardian Ball,A jewel that seems to have the power of protection by Iseek. \ n It is said that it guarantees activities in the abyss to some extent.,60100184,2004201,21,
62010001,Dream Trial Ground Admission Permit,A permit required to enter the Dream Trial Ground.,60100114,,,
62010002,Abdullah's Trial Ground Deep Admission Permit,A permit required to enter the depths of the Azzam Trial Ground.,60100114,,,
62010003,Admission permit to the deepest part of the Azzam Trial Ground,A permit required to enter the deepest part of the Azzam Trial Ground.,60100114,,,
62010004,Euclid's Infinite Corridor Admission Permit,The permit required to enter Euclid's Infinite Corridor.,60100114,,,
62020001,Admission permit to the House of Lust and Nasty,The permit you need to enter the House of Lust and Nymphomania.,60100114,,,
62020002,Ao Cave Admission Permit,A permit required to enter the Blue Cave.,60100114,,,
62020003,Miskatonic University Branch Entrance Permit,A permit required to enter the Miskatonic University branch.,60100114,,,
62020004,Il Vambore Mine Admission Permit,The permit you need to enter the Il Van Bole mine.,60100114,,,
62020007,Mad King's Trial Ground Admission Permit,The permit required to enter the Mad King's Trial Ground.,60100114,,,
62020008,Chaotic Strase Admission Permit,The permit you need to enter the Chaos Strase.,60100114,,,
62020009,Mad King's Trial Ground 2 Admission Permit,A permit required to enter the Mad King's Trial Ground 2.,60100114,,,
62090001,Capital Itox Admission Permit,"The permit you need to enter the capital, Itox.",60100114,,,
60100228,Silver Geno,A mallet that tells the legend that it crushed a stone that a demon had attached to it long ago. \ n Just hit it to see if it's genuine \ n Enjoy.,60100179,,,
60100229,Geno's head,A slightly crushed columnar metal rod. \ n There is a hole in the middle.,60100179,,,
60100230,Geno's handle,A stick of just the right length that fits your hand. \ n I want to insert it somewhere.,60100179,,,
60100232,Silver hatchet,A hatchet with the power of the Silver Knights to reject the devil. \ n The dull blade is shining silver.,60100176,,,
60100233,Dirty hatchet,A hatchet found in junk. \ n The blade is painted with rust and dirt. \ n This is unlikely to cut anything.,60100177,,,
60100234,Purified hatchet,"A hatchet that has been slightly better by polishing and purifying the dirty blade. \ nI purified it, but the blade is still dull. \ nIt seems that the magical power is not enough yet.",60100178,,,
60100237,Silver card key,It is made by processing a dull color plate. \ n It has a beautiful silver color and \ n it seems to have magical power.,60100174,,,
60100239,Dull color plate,"A board taken out of an abandoned machine. \ nSilver is peeking from some places, but \ nwhat kind of board is it?",60100175,,,
60100300,Secret book of evil spirits,A secret letter addressed to the magic station given by the evil spirits.,60100102,,,
60100301,Amulet of Aoishi,Passage certificate for the Sangent ruins.,30300302,,,
60100302,Chicken,It's tingling because I want to cry.,60100135,,,
60100307,Halcia Fragment,White debris that gives off a mysterious glow. \ n It has the power to suppress magical power.,60100200,,,
60100308,Mira's Jewel,A jewel given to his sons by Diment VI. \ n A god of death called Macabre was sealed.,60100144,,,
60100309,Luce's Engagement Ring,Engagement ring that Bersch gave to Ruche.,30100104,,,
60100310,Harusia Fragment Part 2,A fragment of Harcia that Valgo cherished. \ n Its brilliance is as beautiful as a maiden ...,60100200,,,
60100311,Dream sword,A large sword that is said to have appeared when 10 wedges were gathered. \ n It has the power to cut through dimensions.,60100201,,,
60100312,White orb,A white orb that gives off a mysterious glow. \ n There may be something good to have.,60100103,,,
60100313,Yellow mark,A seal that shows one of the gods that Innoverch was dedicated to.,60100107,,,
60100318,Balfret's letter,A letter from Balfret. \ n To Bersch.,60100102,,,
60100319,Luxury Balboa currency,\ N Luxury coins that are only distributed within the Balboa family. The money itself is not worth it.,50400301,,,
60100320,Social space Madalia's business card,A business card received from the Royal Lady Madalia. \ n Proof of adult social gathering regulars.,60100174,,,
60100321,Eleche's Token Ring,An item that allows the wearers to chat with each other by equipping them. \ n I borrowed it from Ereche for contact.,70000201,,,
60100334,Dirty quill,It's an old quill that is about to break.,60100120,,,
60100335,Tinkerbell,"It's a toy bell. \ n When you shake it, a slightly out-of-pitch sound \ n sounds and is noisy.",60100134,,,
60100339,Blood pack [1],A \ n pack containing a specified amount of blood.,60100112,,,
60100340,Blood pack [2],A \ n pack containing a specified amount of blood.,60100112,,,
60100341,Blood pack [3],A \ n pack containing a specified amount of blood.,60100112,,,
60100342,serum,A liquid made by separating blood.,60100147,,,
60100357,Dream Jewel,Proof of overcoming the trials of fantasy \ n A jewel that gives off a fantastic glow.,60100184,,,
60100164,Wedge coat of arms [Twin fish],A coat of arms that imitates the incarnation of a wedge that was driven into the god dragon Lin Ryan.,60100113,,,
60100165,Wedge coat of arms [corner],A coat of arms that imitates the incarnation of the two wedges that were driven into the god dragon Lin Ryan.,60100113,,,
60100166,Wedge coat of arms [water bottle],A coat of arms that imitates the incarnation of the three wedges that were driven into the god dragon Lin Ryan.,60100113,,,
60100167,Wedge coat of arms [magic brush],A coat of arms that imitates the incarnation of the four wedges that were driven into the god dragon Lin Ryan.,60100113,,,
60100168,Wedge Crest [Phantom Book],A coat of arms that imitates the incarnation of the five wedges that were driven into the god dragon Lin Ryan.,60100113,,,
60100169,Wedge Crest [Magic Mirror],A coat of arms that imitates the incarnation of the six wedges that was driven into the god dragon Lin Ryan.,60100113,,,
60100170,Wedge coat of arms [Mask],"A coat of arms that imitates the incarnation of the Seven Wedges, which was driven into the Shinryu Lin Ryan.",60100113,,,
60100171,Wedge coat of arms [crown],A coat of arms that imitates the incarnation of the eight wedges that was driven into the god dragon Lin Ryan.,60100113,,,
60100172,Wedge coat of arms [cloak],A coat of arms that imitates the incarnation of the nine wedges that was driven into the god dragon Lin Ryan.,60100113,,,
60100136,Crystal ball of eating,A crystal ball that controls appetite. \ n It glows wet with the digestive juices of carnivorous plants. \ n It doesn't melt as expected.,60100103,,,
60100140,Greedy crystal ball,A crystal ball that controls desire. \ n Michael polished it shiny. \ n It's shining mesmerizingly.,60100103,,,
61100018,Shinshi jewel,"A combination of the jewels of a light angel, a god dragon, and a dark angel. \ n Gives off a divine glow.",60100103,,,
61100019,Shinshi coat of arms,A coat of arms that is a proof of the priest of Avrule.,60100113,,,
60100203,Jewel of the soul,A jewel that shows a mysterious glow. \ nIt has a mysterious characteristic that it changes the appearance of its brilliance depending on the person who owns it.,60100143,,,
60100198,Underworld bills,"A bill given by Tentuto. \ nIt seems that you will be able to put it in the area where the ""Revival Staff"" is stored.",60100114,,,
64000001,Decaying crow key,The black key sought by the decaying crow lord.,60100164,,,
64000002,Fly King's Key,The blue key sought by the Lord of the Fly King.,60100165,,,
64000003,Akatsuki's key,The red key sought by the Akatsuki Lord.,60100166,,,
64000004,The key to the greed,The silver key sought by the Lord of the Greed.,60100167,,,
64000005,The key of dimness,The golden key sought by the Lord of Oboro.,60100168,,,
64000006,The key to hope not to throw away,A mysteriously colored key that combines five keys.,60100169,,,
64000008,Dream Fragment [Transient],A small piece with a mysterious power.,60100163,,,
64000009,Dream Fragment [Regret],A small piece with a mysterious power.,60100163,,,
64000010,Dream Fragment [Frustration],A small piece with a mysterious power.,60100163,,,
64000011,Dream Fragment [Ideal],A small piece with a mysterious power.,60100163,,,
64000012,Dream Fragment [Eternity],A small piece with a mysterious power.,60100163,,,
60100463,Forbidden book Le Holban,"A very dangerous spellbook that is said to be a manuscript of ""Necronomicon"" and a manifestation.",60100199,,,
60100464,Forbidden bookmarks,A magic bookmark entrusted by Arahui. \ n It seems to have the ability to temporarily suspend the magical power of the spellbook.,60100205,,,
60100467,Torn management book page,A page that had been torn from Marcness's management book. \ n It seems that it can be read by combining it with the original management books.,60100102,,,
60100474,Avrule coat of arms,A coat of arms with the design of Avrule.,60100113,,,
60100475,Dirty sheets,Sheets that are dirty with Nanika.,60100116,,,
60100476,Awesome pliers,A plier that shows the horror that would have been used in torture in the past.,60100117,,,
60100477,Old bandage,"A bandage with a season. It's a little old, but it doesn't seem to be a problem to use.",60100101,,,
60100478,Bloody bandage,Bandages used to treat injuries. \ n It won't be reusable.,60100215,,,
60100479,Dirty Gothic Doll,A girl's Gothic doll that is elaborately made as if it were alive. \ n I feel like I feel my body temperature and heartbeat ...,60100106,,,
60100480,Empty glass bottle,A glass bottle with nothing in it. \ n I think I can put something in it.,60100206,,,
60100481,Chastity of life,A liquid obtained from a Gothic doll.,60100112,,,
60100482,Impure ash,* Yes *,60100108,,,
60100483,Branding iron,It looks like a branding iron with an evil design.,60100117,,,
60100484,Right hand of the corpse,The right hand cut from a rotten corpse.,60100217,,,
60100485,Right hand engraved with the engraving of evil spirits,A branding iron of evil spirits is stamped on the right hand cut from the decayed corpse.,60100216,,,
60100486,Sleeping dream pillow,A pillow specially made by Yumema that guarantees quick sleep and dreaming. \ n Dreams are not always good dreams!,60100118,,,
60100487,Nightmare Remnants [Pain],\ N The remnants of a dream created from a nightmare with [pain].,60100163,,,
60100488,Nightmare Remnants [Fear],\ N The remnants of a dream created from a nightmare accompanied by [fear].,60100163,,,
60100489,Nightmare Remnants [Loneliness],\ N The remnants of a dream created from a nightmare accompanied by [loneliness].,60100163,,,
60100490,Nightmare Remnants [Loss],\ N The remnants of a dream created from a nightmare with [loss].,60100163,,,
60100491,Horse statue's neck,The head of the horse statue has been removed. \ n It's heavy.,60100170,,,
60100501,Madalia's Petit Painting,A palm-sized painting depicting the profile of Madalia. \ n There are many male customers who want this.,60100114,,,
60100502,Black onyx,Black striped agate. It is a material for cameos.,60100141,,,
60100503,Special tools,A tool that looks amazing. \ n It seems that it was originally used for torture.,60100117,,,
60100504,Armor shards,"It's a good quality metal, so it can be used as a cameo decoration.",60100202,,,
60100505,Ultimate cameo,The ultimate cameo created by craftsman Rodrio with passion. \ nA sculpture with the motif of Madalia's profile is engraved.,60100119,,,
60100506,Madalia business card,An ordinary business card that Madalia gives to her customers.,60100175,,,
60100507,Madalia Gold Business Card,A nice business card that Madalia gives to regular customers.,60100218,,,
60100508,Madalia Platinum Business Card,A special business card that Madalia gives to her superiors.,60100174,,,
60100514,Blank manuscript,A blank book with the magic of creating one manuscript.,60100212,,,
60100515,Manuscript of the request,"A manuscript of the requested book. \ nSince it is a manuscript made by magic, \ nit seems that it becomes unreadable after a certain period of time has passed since it was opened.",60100213,,,
60100516,Fiery lantern,A lantern that can activate fire-type mana to light a hot fire.,60100230,,,
60100517,Atmospheric compass,A compass that can read the mana of the wind attribute and adjust the flow of the atmosphere.,60100232,,,
60100518,Earth plate,A dish that can be fixed with earth-based manna to maintain \ n magical substances.,60100233,,,
60100519,Deep sea water meter,A water meter that can circulate water-based mana and distribute it to a certain amount of \ n containers.,60100231,,,
60100520,Material Core [LI],A \ n material created by combining fire-type manna.,60100234,,,
60100521,Material Core [TO],A \ n material created by combining the mana of the wind attribute.,60100236,,,
60100522,Material Core [NI],A \ n material created by combining the mana of the earth attribute.,60100237,,,
60100523,Material Core [DAL],A \ n material created by combining mana with water attributes.,60100235,,,
60100537,Araimentia [Ao],A magical jewel whose color is determined according to the brilliance of the soul of the person who holds it. \ n It gives off a blue glow.,60100235,,,
60100538,Araimentia [Yellow],A magical jewel whose color is determined according to the brilliance of the soul of the person who holds it. \ n It has a yellow glow.,60100237,,,
60100539,Araimentia [Purple],A magical jewel whose color is determined according to the brilliance of the soul of the person who holds it. \ n It has a purple glow.,60100239,,,
60100540,Lumiere Rosier,\ N Blue rose work made by processing Araimentia.,60100240,,,
60100541,Lune Logier,\ N Yellow rose work made by processing Araimentia.,60100241,,,
60100542,Opscurite terrorism,\ N Purple rose work made by processing Araimentia.,60100242,,,
60100573,Amulet of Conquest,Amulet from the Horai continent. \ n It seems to have the effect of conquering the devil.,60100174,,,
60100574,Amulet of the Devil,Amulet from the Horai continent. \ n It seems to have the effect of guiding the devil.,60100218,,,
