#ID,Type,Name [JA],Name [EN],Rarity,Grade,Physical,Magical,Range Distance,Special Performance,Durability,Hardness,Weight,Slash,Strike,Pierce,checkup,Bonus Tolerance,FIG,THI,MAG,PRI,SAM,NIN,BIS,LOR,CLO,ALC,Occupations,HP,MP,STR,VIT,DEX,AGI,INT,PIE,LUK,Poison,Paralysis,Stone,Faint,Blind,Sleep,Silent,Charm,Confus ,Fear,Fire Def,Water Def,Wind Def,Earth Def,Light Def,Dark Def,Fire Atk,Water Atk,Wind Atk,地攻,光攻,闇攻,Sellable,Tradable,NEW,Lootable,Blessable,Cursable,Lower Limit,Upper Limit,Requirements,When Equipped [JA],When equipped [EN],Positive Effect,Abnormal State [JA],Abnormal State [EN],Abnormal State [JA] (text),Abnormal State [EN] (text),Status Effect,Comment [JA],Comment [EN],Obtained [JA],Obtained [EN],Note [JA],Note [EN],Collation [JA],Collation [EN],Evidence
100115,Head,プリヴィディエガード,Pre-Vie Die guard,Normal,21,74,34,0,0,32,2,1.9,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,25,5,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,52,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100181,Head,鬼神の鉢巻,Headband of demon,Master,14,49,15,0,0,35,4,1,40,40,20,ok,42,0,0,0,0,1,0,0,0,0,0,16,30,10,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,38,-1,,OD 自然回復上限値上昇,OD natural recovery upper limit rise,TRUE,,,,,0%,,,,,,,,,E
100191,Head,使い古されたレザーガード,Leather guard that has been overused,Normal,1,5,1,0,0,32,1,0.8,40,40,20,ok,-1,1,1,0,1,1,0,1,1,1,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,-1,,,,FALSE,,,,,0%,,,,,,,,,
100192,Head,ラスヴェートガード,Las Weserblick door guard,Normal,22,80,37,0,0,32,2,1.9,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,30,5,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,54,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100201,Head,ブロンズヘルム,Bronze Helm,Normal,2,15,2,0,0,35,4,2,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,SR 2,,,FALSE,,,,,0%,,,,,,,,,
100202,Head,エスペランサメット,Esperanza Met,Normal,23,93,39,0,0,35,4,4.2,40,30,30,ok,37,1,0,0,0,0,0,0,1,1,0,385,45,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,56,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100207,Head,ヘッドロック,Headlock,Poor,1,1,1,0,0,35,4,5,40,30,30,ok,26,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,1,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100208,Head,忍耐の兜,Helmet of patience,Good,2,13,1,0,0,150,4,1.7,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,SR 2,,,FALSE,,,,,0%,,,,,,,,,
100209,Head,歴戦のブロンズヘルム,Bronze Helm of veteran,Normal,4,20,0,0,0,35,4,1.6,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 4,,,FALSE,,,,,0%,,,,,,,,,A
100210,Head,ライトアイアンヘルム,Light Iron Helm,Normal,5,16,0,0,0,35,4,1.3,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 5,,,FALSE,,,,,0%,,,,,,,,,
100211,Head,常勝のブロンズヘルム,Bronze Helm of Tsuyoshi Hisashi,Normal,10,36,2,0,0,35,4,1.6,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,27,-1,,,,FALSE,,,,,0%,,,,,,,,,
100212,Head,デモニックガード,Demonic guard,Master,16,53,25,0,0,35,2,1,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,25,20,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,,ヒール系回復量上昇,Heel-based recovery amount rises,TRUE,,,,,0%,,,,,,,,,A
100213,Head,ソロモンヘルム,Solomon Helm,Normal,26,119,56,0,0,35,2,2.3,40,40,20,ok,38,1,0,0,1,1,0,1,1,1,0,473,50,20,2,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,62,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100214,Head,強心のノルマンヘルム,Norman Helm of inotropic,Master,10,35,14,0,0,35,2,1,40,40,20,ok,40,0,0,0,1,0,0,1,1,0,0,200,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,27,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100301,Head,ハードレザーガード,Hard Leather guard,Normal,2,12,1,0,0,33,1,1.1,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,-1,SR 2,,,FALSE,,,,,0%,,,,,,,,,
100303,Head,フェンダーガード,Fender guard,Normal,16,47,21,0,0,38,2,1,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,5,30,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100304,Head,オニロガード,Onirogado,Normal,25,109,52,0,0,38,2,2.3,40,40,20,ok,38,1,0,0,1,1,0,1,1,1,0,473,40,20,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,60,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100307,Head,頑丈なハードレザーガード,Sturdy hard leather guard,Normal,4,16,2,0,0,38,2,1,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 4,,,FALSE,,,,,0%,,,,,,,,,
100401,Head,アイアンヘルム,Iron Helm,Normal,5,24,0,0,0,42,4,1.8,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 5,,,FALSE,,,,,0%,,,,,,,,,A
100402,Head,ゼフレイアヘルム,Ze Freya Helm,Good,17,52,23,0,0,42,4,1.8,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,35,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100403,Head,クリシスヘルム,Kurishisuherumu,Normal,24,104,46,0,0,42,4,1.8,40,40,20,ok,37,1,0,0,0,0,0,0,1,1,0,385,50,0,4,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,58,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100404,Head,ルミナスヘッド,Luminous head,Master,23,108,45,0,0,42,4,3.8,40,40,20,ok,47,1,0,0,0,0,0,0,1,1,0,385,75,0,3,7,3,2,1,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,56,-1,,正面時物理被ダメージ減少,Front when the physical object damage reduction,TRUE,,,,,0%,,,,,,,,,E
100405,Head,デモニックヘルム,Demo Nick Helm,Master,16,53,25,0,0,42,4,1.8,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,40,30,3,2,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,,GP 回復開始時間短縮,GP recovery start time shortening,TRUE,,,,,0%,,,,,,,,,A
100406,Head,ヘヴィアイアンヘルム,Heavy Iron Helm,Good,7,30,0,0,0,42,4,3,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 7,,,FALSE,,,,,0%,,,,,,,,,
100407,Head,王者の兜,Helmet of champions,Master,7,31,15,0,0,42,4,1.8,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 7,,,FALSE,,,,,0%,,,,,,,,,
100408,Head,王者の戦兜,War helmet of champions,Good,12,41,9,0,0,42,4,1.8,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,33,-1,,,,FALSE,,,,,0%,,,,,,,,,
100501,Head,サリット,Sarit,Good,8,33,0,0,0,42,5,1.9,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,-1,SR 8,,,FALSE,,,,,0%,,,,,,,,,A
100502,Head,プレパレイションヘルム,Sample preparation and Deployment Helm,Normal,16,48,21,0,0,42,5,3,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,42,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100507,Head,上等なサリット,Choice of Sarit,Normal,10,37,0,0,0,42,5,1.9,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,27,-1,,,,FALSE,,,,,0%,,,,,,,,,
100509,Head,レムレスヘルム,Remuresuherumu,Normal,21,81,33,0,0,42,5,4.1,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,35,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,52,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100510,Head,ヴァイゼヘルム,Vaizeherumu,Normal,26,129,54,0,0,42,5,5,40,40,20,ok,38,1,0,0,0,0,0,0,1,1,0,385,70,0,5,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,62,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100601,Head,モリオンアーメット,Morion Ah Met,Legend,1,18,9,0,0,35,4,1.5,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,-1,,,,FALSE,,,,,0%,,,Wizardry Online Act#1,Wizardry Online Act # 1,[ジェムソケット固定] ○○○,[Gem socket retaining] ○○○,,,A
100602,Head,ヒートヘイズヘルム,Heat Haze Helm,Normal,14,43,17,0,0,35,4,1.5,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,15,10,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,38,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100603,Head,アルバヘルム,Arubaherumu,Normal,22,86,35,0,0,35,4,4.1,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,40,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,54,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100801,Head,コンポジットヘルム,Composite Helm,Good,15,50,0,0,0,35,4,0.8,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,40,-1,,,,FALSE,,,,,0%,,,,,,,,,
100802,Head,デスペレイションヘルム,Death Bae Ray Deployment Helm,Master,17,60,28,0,0,35,4,0.8,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,55,0,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,44,-1,,HP 減少につれ魔法防御力上昇,Magic defense force increase as the HP decrease,TRUE,,,,,0%,,,,,,,,,
100803,Head,クヴィークメット,Click Vik Met,Master,24,120,54,0,0,35,2,0.9,40,40,20,ok,47,1,0,0,0,0,0,0,1,1,0,385,80,0,4,6,3,2,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,58,-1,,気絶効果時間短縮,Shortening stun effect time,TRUE,,,,,0%,,,,,,,,,E
100806,Head,ラウドナスヘルム,Loud eggplant Helm,Normal,20,77,30,0,0,35,4,4,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,30,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,50,-1,,,,FALSE,,,,,0%,,,,,,,,,
100901,Head,ソルジャーヘルム,Soldier Helm,Good,11,39,8,0,0,42,4,1.9,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,30,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100902,Head,ロイヤルソルジャーヘルム,Royal Soldier Helm,Good,12,42,9,0,0,42,4,1.9,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,15,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,33,-1,,,,FALSE,,,,,0%,,,,,,,,,A
100903,Head,トラオムヘルム,Toraomuherumu,Normal,25,119,50,0,0,42,4,5,40,30,30,ok,38,1,0,0,0,0,0,0,1,1,0,385,55,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,60,-1,,,,FALSE,,,,,0%,,,,,,,,,E
100905,Head,シュミットヘルム,Schmidt Helm,Normal,18,61,26,0,0,42,4,1.9,40,30,30,ok,-1,1,0,0,0,0,0,0,1,1,0,385,30,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,46,-1,,,,FALSE,,,,,0%,,,,,,,,,
101204,Head,エクソスケルトン,Exo-skeleton,Master,18,65,33,0,0,33,2,1,40,40,20,ok,44,1,0,0,1,1,0,1,1,1,0,473,50,20,2,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,46,-1,,,,FALSE,,,,,0%,,,,,,,,,E
101207,Head,ヴァージヘルム,Vajiherumu,Master,20,85,36,0,0,33,2,3.8,40,40,20,ok,-1,1,0,0,0,0,0,0,1,1,0,385,100,0,6,6,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,50,-1,,瀕死時物理防御力上昇,Dying during the physical defense force increase,TRUE,,,,,0%,,,,,,,,,A
101208,Head,ハイリームガード,High Reem guard,Master,25,125,59,0,0,33,2,2.9,40,40,20,ok,48,1,0,0,1,1,0,1,1,1,0,473,70,50,2,4,0,0,0,7,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,60,-1,,セイクリッドバリアのクールタイム短縮,Cool time reduction of Sacred barrier,TRUE,,,,,0%,,,,,,,,,E
101301,Head,スタデッドレザーガード,Star dead Leather guard,Good,11,35,10,0,0,35,2,0.9,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,15,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,30,-1,,,,FALSE,,,,,0%,,,,,,,,,A
101302,Head,スパイクドレザーガード,Spike de leather guard,Good,12,38,11,0,0,35,2,0.9,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,20,0,0,1,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,33,-1,,,,FALSE,,,,,0%,,,,,,,,,A
101303,Head,ソイルモールガード,Soil mall guard,Normal,14,40,18,0,0,35,2,0.9,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,10,15,0,1,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,33,-1,,,,FALSE,,,,,0%,,,,,,,,,A
101304,Head,モトスガード,Motosugado,Master,23,106,52,0,0,35,2,0.9,40,40,20,ok,47,1,0,0,1,1,0,1,1,1,0,473,60,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,56,-1,,MP 消費時に物理攻撃力上昇,Physical attack power increased at the time of MP consumption,TRUE,,,,,0%,,,,,,,,,E
101306,Head,碧鱗のスペルガード,Hekiuroko spell guard of,Master,22,92,43,0,0,35,2,1.6,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,70,30,2,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,54,-1,,レジスト,Resist,TRUE,,,,,0%,,,,,,,,,A
101307,Head,エアスガード,Easugado,Master,19,70,33,0,0,35,2,0.9,40,40,20,ok,-1,1,0,0,1,0,0,1,1,1,0,457,30,20,3,0,0,-2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,48,-1,,蘇生系スキル消費 MP 減少,Resuscitation system skill MP consumption decreases,TRUE,,,,,0%,,,,,,,,,A
101308,Head,シヴパーナガード,Shivupanagado,Normal,20,68,32,0,0,35,2,1.8,40,40,20,ok,-1,1,0,0,1,1,0,1,1,1,0,473,20,5,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,50,-1,,,,FALSE,,,,,0%,,,,,,,,,
