#,#,,,,Effect ID,Hide what you haven't acquired,Acquisition condition display judgment,,Status up,,,,,,,,
#,#Title ID,ID string,Title name (up to 32 double-byte characters),"Acquisition condition (up to 128 double-byte characters) ... 20 characters per line, so start a new line with </strong> or </strong>",,,Display even if you have not acquired,Displayed only when the designated title ID has been acquired,,,Ability score,,,,,,
#,#,Naming convention,123456789101234567899201234567893012,123456789101234567899201234567893012,,,,,HP,MP,STR,VIT,DEX,AGI,INT,PIE,LUC
#,1,,2,,,,,,3,4,5,6,7,8,9,10,11
#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#for test,,,,,,,,,,,,,,,,,
# 1000010,,Hundred people slash,Defeat 100 monsters,,,,,,,5,,,,,,,
# 1000015,,Environmental destructionism,Defeat 50 plant monsters,,,,,,,,,,33,22,,,
# 1000020,,Beastman hunter,Defeat 50 Beast-Human Monsters,,,,,,,,,,,,,,
# 1000030,,Beast hunter,Defeat 50 beast-type monsters,,,,,25,,,,,,,,,
# 1000040,,Man-eater,Defeat 50 humanoid monsters,,,,,,,,,,,,,,
# 1000050,,Undead hunter,Defeat 50 undead monsters,,,,,,,,,,,,,,
# 1000060,,Those who have mastered their fists,100 times of use of dark device,,,,,,,,,,,,,,
# 1000070,,Swordsman,One-handed sword used 100 times,,,,,,,,,,,,,,
# 1000080,,Master,Achievement level 50,,,,,,,,,,,,,,
# 1000090,,Title effect test,Title effect test ・ Ah ah ah long string <item 50300902> Various string length tests,,,,,16,,13,13,,,,,,
# 1000100,,Login period test,For testing login period,,,,,16,,13,13,,,,,,
#Subjugation,,,,,,,,,,,,,,,,,
10040105,AAE05,Beast King,Defeat 5000 beast-type monsters,,,,10040104,,,,,,,,,,
10040106,AAE06,Wild incarnation,Defeat 20000 beast-type monsters,,,,10040105,,,,,,,,,,
10050101,AAF01,Beginner Lycan Slope Hunter,Defeat 100 Beast-Human Monsters,,,1,,,,,,,,,,,
10050102,AAF02,Intermediate lycanthrope hunter,Defeat 500 Beast-Human Monsters,,,,10050101,,,,,,,,,,
10050103,AAF03,Skilled lycanthrope hunter,Defeat 1000 Beast-Human Monsters,,,,10050102,,,,,,,,,,
10050104,AAF04,Lycan Slope Slayer,Defeat 3000 Beast-Human Monsters,,,,10050103,,,,,,,,,,
10050105,AAF05,Beastman's follower,Defeat 5000 Beast-Human Monsters,,,,10050104,,,,,,,,,,
10050106,AAF06,Great fangs,Defeat 20000 beast-human monsters,,,,10050105,,,,,,,,,,
10060101,AAG01,Beginner demihuman hunter,Defeat 100 subhuman monsters,,,1,,,,,,,,,,,
10060102,AAG02,Intermediate demihuman hunter,Defeat 500 subhuman monsters,,,,10060101,,,,,,,,,,
10060103,AAG03,Skilled demihuman hunter,Defeat 1000 subhuman monsters,,,,10060102,,,,,,,,,,
10060104,AAG04,Demihuman Slayer,Defeat 3000 subhuman monsters,,,,10060103,,,,,,,,,,
10060105,AAG05,Those who trampled on the youth,Defeat 5000 subhuman monsters,,,,10060104,,,,,,,,,,
10060106,AAG06,Those who destroy the youth,Defeat 20000 subhuman monsters,,,,10060105,,,,,,,,,,
10070101,AAH01,Beginner man-eater,Defeat 100 human monsters,,,1,,,,,,,,,,,
10070102,AAH02,Intermediate man-eater,Defeat 500 human monsters,,,,10070101,,,,,,,,,,
10070103,AAH03,Skilled man-eater,Defeat 1000 human monsters,,,,10070102,,,,,,,,,,
10070104,AAH04,Manslayer,Defeat 3000 human monsters,,,,10070103,,,,,,,,,,
10070105,AAH05,Murder license,Defeat 5000 human monsters,,,,10070104,,,,,,,,,,
10070106,AAH06,Mass of murder,Defeat 20000 human monsters,,,,10070105,,,,,,,,,,
10080101,AAI01,Beginner undead hunter,Defeat 100 undead monsters,,,1,,,,,,,,,,,
10080102,AAI02,Intermediate undead hunter,Defeat 500 undead monsters,,,,10080101,,,,,,,,,,
10080103,AAI03,Skilled undead hunter,Defeat 1000 undead monsters,,,,10080102,,,,,,,,,,
10080104,AAI04,Undead slayer,Defeat 3000 undead monsters,,,,10080103,,,,,,,,,,
10080105,AAI05,The one who gave death to the immortal,Defeat 5000 undead monsters,,,,10080104,,,,,,,,,,
10080106,AAI06,Void savior,Defeat 20000 undead monsters,,,,10080105,,,,,,,,,,
10090101,AAJ01,Beginner Object Hunter,Defeat 100 magical creature monsters,,,1,,,,,,,,,,,
10090102,AAJ02,Intermediate object hunter,Defeat 500 magical creature monsters,,,,10090101,,,,,,,,,,
10090103,AAJ03,Skilled object hunter,Defeat 1000 magical creature monsters,,,,10090102,,,,,,,,,,
10090104,AAJ04,Object slayer,Defeat 3000 magical creature monsters,,,,10090103,,,,,,,,,,
10090105,AAJ05,Those who destroy magical creatures,Defeat 5000 magical creature monsters,,,,10090104,,,,,,,,,,
10090106,AAJ06,Hate false life,Defeat 20000 magical creature monsters,,,,10090105,,,,,,,,,,
10100101,AB01,Beginner Elemental Hunter,Defeat 100 spirit monsters,,,1,,,,,,,,,,,
10100102,AB02,Intermediate Element Hunter,Defeat 500 spirit monsters,,,,10100101,,,,,,,,,,
10100103,AB03,Skilled element hunter,Defeat 1000 spirit monsters,,,,10100102,,,,,,,,,,
10100104,AB04,Element slayer,Defeat 3000 spirit monsters,,,,10100103,,,,,,,,,,
10100105,AB05,Those who follow all things,Defeat 5000 spirit monsters,,,,10100104,,,,,,,,,,
10100106,AB06,Get a lot of protection,Defeat 20000 spirit monsters,,,,10100105,,,,,,,,,,
# 10110101,,Beginner giant hunter,Defeat 100 giant monsters,,,1,,,,,,,,,,,
# 10110102,,Intermediate giant hunter,Defeat 500 giant monsters,,,,10110101,,,,,,,,,,
# 10110103,,Skilled giant hunter,Defeat 1000 giant monsters,,,,10110102,,,,,,,,,,
# 10110104,,Giant slayer,Defeat 3000 giant monsters,,,,10110103,,,,,,,,,,
# 10110105,,The one who laid down the giant,Defeat 5000 giant monsters,,,,10110104,,,,,,,,,,
# 10110106,,Little hero,Defeat 20000 giant monsters,,,,10110105,,,,,,,,,,
10120101,ABC01,Beginner Demon Hunter,Defeat 10 dark angels (devils),,,1,,,,,,,,,,,
10120102,ABC02,Intermediate demon hunter,Defeat 100 dark angels (devils),,,,10120101,,,,,,,,,,
10120103,ABC03,Skilled demon hunter,Defeat 1000 dark angels (devils),,,,10120102,,,,,,,,,,
10120104,ABC04,Demon Slayer,"Defeat 10,000 dark angels (devils)",,,,10120103,,,,,,,,,,
10120105,ABC05,Devil's tip,"Defeat 35,000 dark angels (devils)",,,,10120104,,,,,,,,,,
10130101,ABD01,Beginner Angel Hunter,Defeat 10 angel monsters,,,1,,,,,,,,,,,
10130102,ABD02,Intermediate Angel Hunter,Defeat 100 angel-type monsters,,,,10130101,,,,,,,,,,
10130103,ABD03,Skilled angel hunter,Defeat 1000 angel monsters,,,,10130102,,,,,,,,,,
10130104,ABD04,Angel slayer,"Defeat 10,000 angel-type monsters",,,,10130103,,,,,,,,,,
10130105,ABD05,Those who desire a world without light,"Defeat 35,000 angel monsters",,,,10130104,,,,,,,,,,
10140101,ABE01,Beginner Legend Hunter,Defeat 100 mythical beast monsters,,,1,,,,,,,,,,,
10140102,ABE02,Intermediate Legend Hunter,Defeat 500 mythical beast monsters,,,,10140101,,,,,,,,,,
10140103,ABE03,Skilled Legend Hunter,Defeat 1000 mythical beast monsters,,,,10140102,,,,,,,,,,
10140104,ABE04,Legend Slayer,Defeat 3000 mythical beast monsters,,,,10140103,,,,,,,,,,
10140105,ABE05,Mythical spinner,Defeat 5000 mythical beast monsters,,,,10140104,,,,,,,,,,
10140106,ABE06,Those who take care of myths,Defeat 20000 mythical beast monsters,,,,10140105,,,,,,,,,,
10150101,ABF01,Beginner dragon hunter,Defeat 100 dragon-type monsters,,,1,,,,,,,,,,,
10150102,ABF02,Intermediate dragon hunter,Defeat 500 dragon-type monsters,,,,10150101,,,,,,,,,,
10150103,ABF03,Skilled dragon hunter,Defeat 1000 dragon-type monsters,,,,10150102,,,,,,,,,,
10150104,ABF04,Dragon Slayer,Defeat 3000 dragon-type monsters,,,,10150103,,,,,,,,,,
10150105,ABF05,Dragonslayer hero,Defeat 5000 dragon-type monsters,,,,10150104,,,,,,,,,,
10150106,ABF06,Hated by dragons,Defeat 20000 dragon monsters,,,,10150105,,,,,,,,,,
# 10160101,,Encountered a threat,Defeat 100 Titan monsters,,,1,,,,,,,,,,,
# 10160102,,Fearless,Defeat 500 Titan monsters,,,,10160101,,,,,,,,,,
# 10160103,,Unwavering belief,Defeat 1000 Titan monsters,,,,10160102,,,,,,,,,,
# 10160104,,Brave and brave,Defeat 3000 Titan monsters,,,,10160103,,,,,,,,,,
# 10160105,,Challenge the big wall,Defeat 5000 Titan monsters,,,,10160104,,,,,,,,,,
# 10160106,,Titanomachy,Defeat 20000 Titan monsters,,,,10160105,,,,,,,,,,
10170101,ABH01,Beginner Mystery Hunter,Defeat 100 monsters with unknown attributes,,,1,,,,,,,,,,,
10170102,ABH02,Intermediate mystery hunter,Defeat 500 monsters with unknown attributes,,,,10170101,,,,,,,,,,
10170103,ABH03,Skilled mystery hunter,Defeat 1000 monsters with unknown attributes,,,,10170102,,,,,,,,,,
10170104,ABH04,Mystery layer,Defeat 3000 monsters with unknown attributes,,,,10170103,,,,,,,,,,
10170105,ABH05,Mysterious Master,Defeat 5000 monsters with unknown attributes,,,,10170104,,,,,,,,,,
10170106,ABH06,Those who uncover mystery,Defeat 20000 monsters with unknown attributes,,,,10170105,,,,,,,,,,
10180101,ABI01,Judge sin,Subdue 10 criminals,,,1,,,,,,,,,,,
10180102,ABI02,Beginner convict,Subdue 100 criminals,,,,10180101,,,,,,,,,,
10180103,ABI03,Intermediate convict,Subdue 300 criminals,,,,10180102,,,,,,,,,,
10180104,ABI04,Skilled convict,Subdue 500 criminals,,,,10180103,,,,,,,,,,
10180105,ABI05,Justice mallet,Subdue 1000 criminals,,,,10180104,,,,,,,,,,
10180106,ABI06,Vigilant's Captain,"Subdue 10,000 criminals",,,,10180105,,,,,,,,,,
10190101,ABJ01,Judge evil,Subdue 10 felony,,,1,,,,,,,,,,,
10190102,ABJ02,Beginner Executioner,Subdue 100 felony,,,,10190101,,,,,,,,,,
10190103,ABJ03,Intermediate Executioner,Subdue 300 felony,,,,10190102,,,,,,,,,,
10190104,ABJ04,Skilled executioner,Subdue 500 felony,,,,10190103,,,,,,,,,,
10190105,ABJ05,Iron-Blooded Enforcer,Subdue 1000 felony,,,,10190104,,,,,,,,,,
10190106,ABJ06,Lord of the decapitation stand,"Subdue 10,000 felony",,,,10190105,,,,,,,,,,
10200101,AC01,Guards killing,Subdue one guard,,,1,,,,,,,,,,,
10200102,AC02,One guard squad annihilator,Subdue 3 guards,,,,10200101,,,,,,,,,,
10200103,AC03,One guard platoon annihilator,Subdue 10 guards,,,,10200102,,,,,,,,,,
10200104,AC04,One guard annihilator,Subdue 50 guards,,,,10200103,,,,,,,,,,
10200105,AC05,One guard battalion annihilator,Subdue 100 guards,,,,10200104,,,,,,,,,,
10200106,AC06,Guard volunteer,Subdue 1000 guards,,,,10200105,,,,,,,,,,
10210101,ACB01,Per fluke,Subdue 3 bodies at the same time once,,,1,,,,,,,,,,,
10210102,ACB02,Surprising,Subdue 3 bodies 5 times at the same time,,,,10210101,,,,,,,,,,
10210103,ACB03,A genius,Subdue 3 bodies 10 times at the same time,,,,10210102,,,,,,,,,,
10210104,ACB04,Technician,Subdue 3 bodies 100 times at the same time,,,,10210103,,,,,,,,,,
10210105,ACB05,Skilled,Subdue 3 bodies 300 times at the same time,,,,10210104,,,,,,,,,,
10210106,ACB06,Area of ??maturity,Subdue 3 bodies 2000 times at the same time,,,,10210105,,,,,,,,,,
10210201,ACB07,Aim and remove,Defeat 5 bodies once at the same time,,,1,,,,,,,,,,,
10210202,ACB08,There are many chances,Subdue 5 bodies 5 times at the same time,,,,10210201,,,,,,,,,,
10210203,ACB09,One net exhaustion,Subdue 5 bodies 10 times at the same time,,,,10210202,,,,,,,,,,
10210204,ACB10,Eight sides and six sides,Defeat 5 bodies 100 times at the same time,,,,10210203,,,,,,,,,,
10210205,ACB11,Suppressor,Subdue 5 bodies 300 times at the same time,,,,10210204,,,,,,,,,,
10210206,ACB12,Of the storm,Subdue 5 bodies 2000 times at the same time,,,,10210205,,,,,,,,,,
#Combat behavior,,,,,,,,,,,,,,,,,
20010101,BAB01,Those who carry karma,Cumulative damage done to monsters exceeds 10000,,,1,,,,,,,,,,,
20010102,BAB02,Carrying great karma,Cumulative damage done to monsters exceeds 100000,,,,20010101,,,,,,,,,,
20010103,BAB03,Carrying infinite karma,Cumulative damage done to monsters exceeds 1000000,,,,20010102,,,,,,,,,,
20010104,BAB04,Karma incarnation,Cumulative damage done to monsters exceeds 10000000,,,,20010103,,,,,,,,,,
20020101,BAC01,Powerful blow,<br> Attack damage to yourself and monsters within + -5 level exceeds 100,,,1,,,,,,,,,,,
20020102,BAC02,Rupture blow,<br> Attack damage to yourself and monsters within + -5 level exceeds 300,,,,20020101,,,,,,,,,,
20020103,BAC03,A blow of heaven,</strong> Attack damage to yourself and monsters within + -5 level exceeds 800,,,,20020102,,,,,,,,,,
20020104,BAC04,God-killing blow,Damage to yourself and monsters within + -5 level </strong> exceeds 1500,,,,20020103,,,,,,,,,,
20020105,BAC05,Legendary blow,</strong> Attack damage to yourself and monsters within + -5 level exceeds 5000,,,,20020104,,,,,,,,,,
20020106,BAC06,Break through the limit,<br> Attack damage to yourself and monsters within + -5 level exceeds 9999,,,,20020105,,,,,,,,,,
20030101,BAD01,Endurant,Cumulative damage received exceeds 1000,,,1,,,,,,,,,,,
20030102,BAD02,Great endurance,Cumulative damage received exceeds 5000,,,,20030101,,,,,,,,,,
20030103,BAD03,Infinite endurance,"Cumulative damage received exceeds 10,000",,,,20030102,,,,,,,,,,
20030104,BAD04,The person who endured,"Cumulative damage received exceeds 50,000",,,,20030103,,,,,,,,,,
20030105,BAD05,For sale,Cumulative damage received exceeds 100000,,,,20030104,,,,,,,,,,
20030106,BAD06,Experienced hero,Cumulative damage received exceeds 500000,,,,20030105,,,,,,,,,,
20030107,BAD07,Full of scratches,Cumulative damage received exceeded 3000000,,,,20030106,,,,,,,,,,
20040101,BAE01,Weak,Over 100 damage received at one time from yourself and monsters within + -5 level,,,1,,,,,,,,,,,
20040102,BAE02,Struck and weak,Over 500 damage received at one time from yourself and monsters within + -5 level,,,,20040101,,,,,,,,,,
20040103,BAE03,Received a direct hit,Over 1000 damage received at one time from yourself and monsters within + -5 level,,,,20040102,,,,,,,,,,
20040104,BAE04,No guard,Over 3000 damage received at one time from yourself and monsters within + -5 level,,,,20040103,,,,,,,,,,
20040105,BAE05,Not fashionable,Over 6000 damage received at one time from yourself and monsters within + -5 level,,,,20040104,,,,,,,,,,
20040106,BAE06,I have no choice but to laugh,Over 9000 damage received at one time from yourself and monsters within + -5 level,,,,20040105,,,,,,,,,,
20050101,BAF01,Blood bather,"Cumulative damage done to other players (in soul units) exceeds 10,000",,,1,,,,,,,,,,,
20050102,BAF02,Those who have been exposed to blood all over the body,Cumulative damage done to other players (in soul units) exceeds 100000,,,,20050101,,,,,,,,,,
20050103,BAF03,Those who bathe in the soul,Cumulative damage done to other players (in soul units) exceeds 1000000,,,,20050102,,,,,,,,,,
20050104,BAF04,Dormitory,Cumulative damage done to other players (in soul units) exceeds 10000000,,,,20050103,,,,,,,,,,
20060101,BAG01,Blood shed,Cumulative damage received from PC exceeds 1000,,,1,,,,,,,,,,,
20060102,BAG02,Those who have lost all their blood,"Cumulative damage received from PC exceeds 5,000",,,,20060101,,,,,,,,,,
20060103,BAG03,Those who shed blood from their souls,Cumulative damage received from PC exceeds 10000,,,,20060102,,,,,,,,,,
20060104,BAG04,Stung from behind,"Cumulative damage received from PC exceeds 50,000",,,,20060103,,,,,,,,,,
20060105,BAG05,Splendid isolation,Cumulative damage received from PC exceeds 100000 </strong>,,,,20060104,,,,,,,,,,
20060106,BAG06,Live eternal loneliness,Cumulative damage received from PC exceeds 500000,,,,20060105,,,,,,,,,,
20070101,BAH01,Killer,Kill another player once,,,1,,,,,,,,,,,
20070102,BAH02,Woke up to dark pleasures,Kill other players 10 times,,,,20070101,,,,,,,,,,
20070103,BAH03,Those who continue to hunt,Kill other players 50 times,,,,20070102,,,,,,,,,,
20070104,BAH04,Slaughter King,Kill other players 100 times,,,,20070103,,,,,,,,,,
20070105,BAH05,Evil Rakshasa,Kill other players 300 times,,,,20070104,,,,,,,,,,
20070106,BAH06,Kill all,Kill other players 5000 times,,,,20070105,,,,,,,,,,
20080101,BAI01,Defeated,PKed once,,,1,,,,,,,,,,,
20080102,BAI02,Further defeated,PKed 10 times,,,,20080101,,,,,,,,,,
20080103,BAI03,More defeated,PKed 50 times,,,,20080102,,,,,,,,,,
20080104,BAI04,Thoroughly defeated,PKed 100 times,,,,20080103,,,,,,,,,,
20080105,BAI05,The role of being killed today,PKed 300 times,,,,20080104,,,,,,,,,,
20080106,BAI06,McCoy ...,PKed 5000 times,,,,20080105,,,,,,,,,,
20090101,BAJ01,Good luck,Routed once,,,1,,,,,,,,,,,
20090102,BAJ02,Bad habit,Routed 10 times,,,,20090101,,,,,,,,,,
20090103,BAJ03,Even worse,Routed 100 times,,,,20090102,,,,,,,,,,
20090104,BAJ04,Worse habit,Routed 500 times,,,,20090103,,,,,,,,,,
20090105,BAJ05,Phantom thief,Routed 1000 times,,,,20090104,,,,,,,,,,
20090106,BAJ06,Great thief,Routed 10000 times,,,,20090105,,,,,,,,,,
20100101,BB01,Stolen person,Routed once,,,1,,,,,,,,,,,
20100102,BB02,Further stolen person,Routed 10 times,,,,20100101,,,,,,,,,,
20100103,BB03,More stolen,Routed 100 times,,,,20100102,,,,,,,,,,
20100104,BB04,Just stolen,Routed 300 times,,,,20100103,,,,,,,,,,
20100105,BB05,A thief!,Routed 500 times,,,,20100104,,,,,,,,,,
20100106,BB06,Uncertain name: Treasure chest,Routed 3000 times,,,,20100105,,,,,,,,,,
20110101,BBB01,A blow of conscience,10 hard hits,,,1,,,,,,,,,,,
20110102,BBB02,Whole body blow,100 hard hits,,,,20110101,,,,,,,,,,
20110103,BBB03,Force of mortality blow,1000 hard hits,,,,20110102,,,,,,,,,,
20110104,BBB04,Demon's blow,Hard hit 10000 times,,,,20110103,,,,,,,,,,
20110105,BBB05,Master the blow,100000 hard hits,,,,20110104,,,,,,,,,,
20120101,BBC01,Decapitation practice,10 critical hits,,,1,,,,,,,,,,,
20120102,BBC02,Decapitation,100 critical hits,,,,20120101,,,,,,,,,,
20120103,BBC03,The height of decapitation,500 critical hits,,,,20120102,,,,,,,,,,
20120104,BBC04,Decapitation divine work,1000 critical hits,,,,20120103,,,,,,,,,,
# 20130101,,Take care of life,Cumulative self-healing amount exceeds 100,,,,,,,,,,,,,,
20130102,BBD01,Prudent,Cumulative amount of self-healing exceeded 1000,,,1,,,,,,,,,,,
20130103,BBD02,solid,"Cumulative amount of self-healing exceeded 10,000",,,,20130102,,,,,,,,,,
20130104,BBD03,Hit the stone bridge and cross,Cumulative self-healing amount exceeded 100000,,,,20130103,,,,,,,,,,
20130105,BBD04,A person who heals himself,Cumulative self-healing amount exceeded 1000000,,,,20130104,,,,,,,,,,
20130106,BBD05,Synonymous with healing,"Cumulative self-healing amount exceeds 10,000,000",,,,20130105,,,,,,,,,,
20140101,BBE01,Healing hand,Recovered the HP of others (in soul units) </strong> Cumulative total exceeds 1000,,,1,,,,,,,,,,,
20140102,BBE02,Healing singing voice,Recovered the HP of others (in soul units) </strong> Cumulative total exceeds 5000,,,,20140101,,,,,,,,,,
20140103,BBE03,Lourdes sigh,"Recovered the HP of others (in soul units) </strong> Cumulative total exceeds 10,000",,,,20140102,,,,,,,,,,
20140104,BBE04,Charitable Healer,Recovered the HP of others (in soul units) </strong> Cumulative total exceeds 100000,,,,20140103,,,,,,,,,,
20140105,BBE05,Healing heart,Recovered the HP of others (in soul units) </strong> Cumulative total exceeds 1000000,,,,20140104,,,,,,,,,,
20150101,BBF01,Aspiring bounty hunter,Bounty points </strong> exceeded 60000,,,1,,,,,,,,,,,
20150102,BBF02,Bounty hunter apprentice,"Bounty points </strong> exceeded 150,000",,,,20150101,,,,,,,,,,
20150103,BBF03,Rookie bounty hunter,"Bounty points </strong> exceeded 300,000",,,,20150102,,,,,,,,,,
20150104,BBF04,Fledgling,Bounty points </strong> exceeded 1500000,,,,20150103,,,,,,,,,,
20150105,BBF05,Desire to reveal,Bounty points </strong> exceeded 3000000,,,,20150104,,,,,,,,,,
20150106,BBF06,Aim,Bounty points </strong> Over 4500000,,,,20150105,,,,,,,,,,
20150107,BBF07,to attract attention,Bounty points </strong> exceeded 6000000,,,,20150106,,,,,,,,,,
20150108,BBF08,I want to earn more,Bounty points </strong> exceeded 7500000,,,,20150107,,,,,,,,,,
20150109,BBF09,Good at treating,Bounty points </strong> exceeded 9000000,,,,20150108,,,,,,,,,,
20150110,BBF10,F-class bounty hunter,Bounty points </strong> exceeded 10500000,,,,20150109,,,,,,,,,,
20150111,BBF11,Search for prey,Bounty points </strong> exceeded 12000000,,,,20150110,,,,,,,,,,
20150112,BBF12,Momentum,Bounty points </strong> exceeded 13500000,,,,20150111,,,,,,,,,,
20150113,BBF13,Street corner bouncer,Bounty points </strong> exceeded 15000000,,,,20150112,,,,,,,,,,
20150114,BBF14,Rough earning,Bounty points </strong> 22500000 topped,,,,20150113,,,,,,,,,,
20150115,BBF15,E-class bounty hunter,Bounty points </strong> exceeded 30000000,,,,20150114,,,,,,,,,,
20150116,BBF16,Ask for a bounty,Bounty points </strong> exceeded 45000000,,,,20150115,,,,,,,,,,
20150117,BBF17,No one can stop,Bounty points </strong> exceeded 60000000,,,,20150116,,,,,,,,,,
20150118,BBF18,I'm getting used to it,Bounty points </strong> exceeded 75000000,,,,20150117,,,,,,,,,,
20150119,BBF19,Bloody,Bounty points </strong> exceeded 90000000,,,,20150118,,,,,,,,,,
20150120,BBF20,D-class bounty hunter,Bounty points </strong> exceeded 105000000,,,,20150119,,,,,,,,,,
20160101,BBG01,Aiming for small items,Prize amount for subdued </strong> 20000 or more,,,1,,,,,,,,,,,
20160102,BBG02,Making a lot of money,"Prize amount for subjugation </strong> 50,000 or more",,,,20160101,,,,,,,,,,
20160103,BBG03,I want to get up,Prize amount for subdued </strong> 100000 or more,,,,20160102,,,,,,,,,,
20160104,BBG04,Rough,"Prize amount for subdued </strong> 500,000 or more",,,,20160103,,,,,,,,,,
20160105,BBG05,Street corner cleaner,Prize amount for subdued </strong> 1000000 or more,,,,20160104,,,,,,,,,,
20160106,BBG06,Those who pursue sin,Prize amount of the subjugated target </strong> 1.500000 or more,,,,20160105,,,,,,,,,,
20160107,BBG07,Village punisher,Prize amount for subdued </strong> 2000000 or more,,,,20160106,,,,,,,,,,
20160108,BBG08,Well-known,Prize amount of the subjugated target </strong> 2.500000 or more,,,,20160107,,,,,,,,,,
20160109,BBG09,Aiming for big game,Prize amount for subdued </strong> 3000000 or more,,,,20160108,,,,,,,,,,
20160110,BBG10,Cleaner,Prize amount of the subjugated target </strong> 3500000 or more,,,,20160109,,,,,,,,,,
20160111,BBG11,City punisher,Prize amount for subdued </strong> 4000000 or more,,,,20160110,,,,,,,,,,
20160112,BBG12,Dignified,Prize amount for subdued </strong> 4500000 or more,,,,20160111,,,,,,,,,,
20160113,BBG13,Punisher,Prize amount for subdued </strong> 5000000 or more,,,,20160112,,,,,,,,,,
20160114,BBG14,Sin-eater,"Prize amount for subdued </strong> 750,000 or more",,,,20160113,,,,,,,,,,
20160115,BBG15,Penalty agent,Prize amount for subdued </strong> 10000000 or more,,,,20160114,,,,,,,,,,
20160116,BBG16,Hounds lurking in silence,Prize amount for subdued </strong> 15000000 or more,,,,20160115,,,,,,,,,,
20160117,BBG17,Of the punishment,Prize amount for subdued </strong> 20000000 or more,,,,20160116,,,,,,,,,,
20160118,BBG18,professional,Prize amount for subdued </strong> 25000000 or more,,,,20160117,,,,,,,,,,
20160119,BBG19,Charismatic punisher,Prize amount for subdued </strong> 30000000 or more,,,,20160118,,,,,,,,,,
20160120,BBG20,First-class personality,Prize amount for subdued </strong> 35000000 or more,,,,20160119,,,,,,,,,,
20170101,BBH01,Bad,Prize amount when subdued </strong> 20000 or more,,,1,,,,,,,,,,,
20170102,BBH02,Thug,"Prize amount when subdued </strong> 50,000 or more",,,,20170101,,,,,,,,,,
20170103,BBH03,Bad adventurer,Prize amount when subdued </strong> 100000 or more,,,,20170102,,,,,,,,,,
20170104,BBH04,Anonymous bounty,"Prize amount when subdued </strong> 500,000 or more",,,,20170103,,,,,,,,,,
