#,ID,String,Message type,Supports special tags
#Category name,,,,
#,,,,
COMMON_ERRMSG,-10003,Your STR level is too low to equip this item.,SYSTEM_WARNING,
COMMON_ERRMSG,-10004,Your VIT level is too low to equip this item.,SYSTEM_WARNING,
COMMON_ERRMSG,-10005,Your DEX level is too low to equip this item.,SYSTEM_WARNING,
COMMON_ERRMSG,-10006,Your AGI level is too low to equip this item.,SYSTEM_WARNING,
COMMON_ERRMSG,-10007,Your INT level is too low to equip this item.,SYSTEM_WARNING,
COMMON_ERRMSG,-10008,Your PIE level is too low to equip this item.,SYSTEM_WARNING,
COMMON_ERRMSG,-10009,Your LUCK level is too low to equip this item.,SYSTEM_WARNING,
COMMON_ERRMSG,-10010,Your character alignment is preventing you from equiping this item.,SYSTEM_WARNING,
COMMON_ERRMSG,-10011,This item needs to be identified before it can be equiped.,SYSTEM_WARNING,
COMMON_ERRMSG,-10012,You need a higher soul level to equip this item.,SYSTEM_WARNING,
COMMON_ERRMSG,-10013,I do not know how to explain this other than your chosen character race is simply unable to use this weapon.,SYSTEM_WARNING,
#Error related log,,,,
ERR_SELECTWORLD,GENERIC,An unknown error has occurred,SYSTEM_WARNING,
ERR_SELECTWORLD,-2,Server processing is over allowed,SYSTEM_WARNING,
ERR_SELECTWORLD,-3,Invalid protocol sent,SYSTEM_WARNING,
ERR_SELECTWORLD,-7,You are already logged in,SYSTEM_WARNING,
ERR_SELECTWORLD,-8,Under maintenance,SYSTEM_WARNING,
ERR_SELECTWORLD,-17,Timeout error,SYSTEM_WARNING,
ERR_SELECTWORLD,-18,The number of connections in the world has reached the upper limit,SYSTEM_WARNING,
ERR_SELECTWORLD,-19,The number of connected channels has reached the upper limit,SYSTEM_WARNING,
ERR_SELECTWORLD,-32,New registrations in this world are currently suspended,SYSTEM_WARNING,
ERR_SOULSELECT,GENERIC,Failed to select soul,SYSTEM_WARNING,
ERR_SOULSELECT,-14,An unknown error occurred when selecting a soul,SYSTEM_WARNING,
ERR_SKILL_FREEPOS,GENERIC,Cannot be used at the specified point,SYSTEM_WARNING,
ERR_DASH_FAILED,1,I can't dash because I don't have enough OD,SYSTEM_WARNING,
ERR_DASH_FAILED,2,I can't dash jump because I don't have enough OD,SYSTEM_WARNING,
ERR_DASH_FAILED,3,"Since the condition is 0"","" you cannot dash",SYSTEM_WARNING,
ERR_DASH_FAILED,4,Currently it is not possible to jump.,SYSTEM_WARNING,
ERR_DASH_FAILED,5,Currently it is not possible to dash.,SYSTEM_WARNING,
ERR_DASH_FAILED,6,"Currently"","" dash jumps are not available.",SYSTEM_WARNING,
ERR_DASH_FAILED,7,I can't dash because I'm full,SYSTEM_WARNING,
ERR_STEP_FAILED,1,I can't step because I don't have enough OD,SYSTEM_WARNING,
ERR_STEP_FAILED,2,Currently no steps can be taken.,SYSTEM_WARNING,
ERR_SKILLREQUEST,-1,Cannot be used due to cool time,SYSTEM_WARNING,
ERR_SKILLREQUEST,-2,Cannot be used with that equipment,SYSTEM_WARNING,
ERR_SKILLREQUEST,-3,Not enough OD,SYSTEM_WARNING,
ERR_SKILLREQUEST,-4,Not enough MP,SYSTEM_WARNING,
ERR_SKILLREQUEST,-5,Cannot be used with that equipment,SYSTEM_WARNING,
ERR_SKILLREQUEST,-6,Cannot be used with that equipment,SYSTEM_WARNING,
ERR_SKILLREQUEST,-10,Not available on this map,SYSTEM_WARNING,
ERR_SKILLREQUEST,-11,Cannot be used while crouching,SYSTEM_WARNING,
ERR_SKILLREQUEST,-12,Cannot be used while jumping,SYSTEM_WARNING,
ERR_SKILLREQUEST,-13,Cannot be used during steps,SYSTEM_WARNING,
ERR_SKILLREQUEST,-14,Cannot be used when the sword is delivered,SYSTEM_WARNING,
ERR_SKILLREQUEST,-15,Currently the skill cannot be used,SYSTEM_WARNING,
ERR_SKILLREQUEST,-16,Skills cannot be used while within range of the camp,SYSTEM_WARNING,
ERR_SKILLREQUEST,-17,You cannot use%s when you are within range of the camp,SYSTEM_WARNING,
ERR_SKILLREQUEST,-18,Skills cannot be used in soul state,SYSTEM_WARNING,
ERR_SKILLREQUEST,-19,No more bullets can be loaded,SYSTEM_WARNING,
ERR_SKILL_EXEC,-1,Failed to activate the skill,SYSTEM_WARNING,
ERR_SKILL_EXEC,-1322,The target target is invalid,SYSTEM_WARNING,
ERR_SKILL_EXEC,-1325,The power level has not been used enough times.,SYSTEM_WARNING,
ERR_SKILL_EXEC,1,Not enough distance,SYSTEM_WARNING,
ERR_SKILL_EXEC,GENERIC,Skill activation failed: <errcode>,SYSTEM_WARNING,1
ERR_EQUIP,GENERIC,Failed to equip,SYSTEM_WARNING,
ERR_EQUIP,-203,Illegal item storage slot,SYSTEM_WARNING,
ERR_EQUIP,-3,Currently the equipment cannot be changed,SYSTEM_WARNING,
ERR_EQUIP,2,Items on the sale list cannot be equipped,SYSTEM_WARNING,
ERR_EQUIP,3,Items on the appraisal list cannot be equipped,SYSTEM_WARNING,
ERR_EQUIP,7,Items set for training cannot be equipped,SYSTEM_WARNING,
ERR_EQUIP,8,Items set for special training cannot be equipped,SYSTEM_WARNING,
ERR_EQUIP,9,Items set for gem socket porting cannot be equipped,SYSTEM_WARNING,
ERR_EQUIP,10,You cannot change the equipment because the item you are equipping is cursed.,SYSTEM_WARNING,
ERR_EQUIP,11,Items set as arcane cannot be equipped,SYSTEM_WARNING,
ERR_EQUIP,12,Cannot be equipped because there is no space in the Token Ring slot.,SYSTEM_WARNING,
ERR_EQUIP,13,Items set to enchantment cannot be equipped,SYSTEM_WARNING,
ERR_EQUIP,14,Items set for enchantment extraction cannot be equipped,SYSTEM_WARNING,
ERR_EQUIP,-244,It cannot be equipped because it has been equipped by another adventurer.,SYSTEM_WARNING,
ERR_EQUIP,-247,You cannot equip multiple token rings with the same name,SYSTEM_WARNING,
ERR_EQUIP,-208,You cannot change the equipment because the item you are equipping is cursed.,SYSTEM_WARNING,
ERR_EQUIP,-249,Equip your weapon first,SYSTEM_WARNING,
ERR_EQUIP,-250,You cannot equip an arrow without equipping a bow,SYSTEM_WARNING,
ERR_EQUIP,-251,You cannot equip a valet without equipping a bow gun,SYSTEM_WARNING,
ERR_EQUIP,-252,You cannot equip a bullet without equipping a gun,SYSTEM_WARNING,
ERR_EQUIP,-253,Not equipped with bullets,SYSTEM_WARNING,
ERR_EQUIP,-5303,Items in the regular inventory are currently unavailable,SYSTEM_WARNING,
ERR_EQUIP,-5304,Items in the regular inventory are currently unavailable,SYSTEM_WARNING,
ERR_UNEQUIP,1,Not equipped with items,SYSTEM_WARNING,
ERR_UNEQUIP,-203,Illegal item storage slot,SYSTEM_WARNING,
ERR_UNEQUIP,-201,The item storage type is invalid,SYSTEM_WARNING,
ERR_UNEQUIP,-208,The equipment is cursed and cannot be removed,SYSTEM_WARNING,
ERR_UNEQUIP,GENERIC,Failed to remove the equipment,SYSTEM_WARNING,
ERR_LOGOUTCANCEL,GENERIC,Failed to cancel logout (%d),SYSTEM_WARNING,
ERR_LOGOUTSTART,GENERIC,Logout failed: <errcode>,SYSTEM_WARNING,1
ERR_LOGOUTSTART,-3200,You cannot log out while crouching,SYSTEM_WARNING,
ERR_GUARD,1,I can't guard because I don't have GP,SYSTEM_WARNING,
ERR_GUARD,2,Cannot guard because it is not equipped with a shield,SYSTEM_WARNING,
ERR_GUARD,3,Currently cannot be guarded,SYSTEM_WARNING,
ERR_ECHO,1,"The soul name of the other party is not specified. In the case of whisper"","" please specify ""Soul name remark content"" with a half-width space.",SYSTEM_WARNING,
ERR_CHARMAKE,-100,There are not enough characters in the name. </br> Please enter the name with 2 or more and 8 characters or less.,SYSTEM_WARNING,1
ERR_CHARMAKE,-101,There are too many characters in the name. </br> Please enter the name with 2 or more and 8 characters or less.,SYSTEM_WARNING,1
ERR_CHARMAKE,-102,No name has been entered.,SYSTEM_WARNING,1
ERR_CHARMAKE,-110,Alignment is not set.,SYSTEM_WARNING,1
ERR_CHARMAKE,-111,No occupation has been set.,SYSTEM_WARNING,1
ERR_CHARMAKE,-112,Allocate all bonus points.,SYSTEM_WARNING,1
ERR_GUARD_START,GENERIC,Failed to guard,SYSTEM_IMPORTANCE,
#ERR_GUARD_START,GENERIC,Guard failed: <errcode>,SYSTEM_IMPORTANCE,1
ERR_CHARSELECT,GENERIC,Character selection failed (CODE: <errcode>),SYSTEM_NOTIFY,1
ERR_CHARSELECT,-8,Under maintenance,SYSTEM_NOTIFY,
ERR_CHARSELECT,-13,You are selecting an illegal character,SYSTEM_NOTIFY,
ERR_CHARSELECT,-5301,Characters challenging the Euclidean Infinite Corridor cannot be deleted.,SYSTEM_NOTIFY,
ERR_CROUCH,1,Currently can't crouch,SYSTEM_WARNING,
ERR_CROUCH,2,Currently can't stand up,SYSTEM_WARNING,
ERR_CROUCH,3,Currently can't crouch,SYSTEM_WARNING,
ERR_ATTACK,1,You cannot attack when you are within range of the camp,SYSTEM_WARNING,
ERR_ATTACK,2,Cannot attack in soul state,SYSTEM_WARNING,
ERR_ATTACK,3,Not equipped with arrows,SYSTEM_WARNING,
ERR_ATTACK,4,Not equipped with bullets,SYSTEM_WARNING,
ERR_CHANGE_POSE,1,"Currently"","" it is not possible to switch between sword removal and sword delivery.",SYSTEM_WARNING,
ERR_CHANGE_POSE,2,You cannot pull out the sword in the soul state,SYSTEM_WARNING,
ERR_CHANGE_POSE,3,Currently it is not possible to pull out the sword,SYSTEM_WARNING,
ERR_BONUSPOINT,GENERIC,Failed to draw bonus points,SYSTEM_WARNING,
ERR_BONUSPOINT,-2511,The lottery time for bonus points is incorrect,SYSTEM_WARNING,
ERR_SSELECT_FROM_CHRSELECT,GENERIC,Failed to return to soul selection,SYSTEM_WARNING,
ERR_SSELECT_FROM_CHRSELECT,-999,Failed to return to soul selection,SYSTEM_WARNING,
ERR_MSGSV_DETACH,GENERIC,Message server connection failed,SYSTEM_WARNING,
ERR_MSGSV_DETACH,-9,Could not connect to message server due to timeout,SYSTEM_WARNING,
ERR_MSGSV_DETACH,-39,"This soul password has failed authentication and is locked. </br> </br> You will be able to re-enter after a while. </br> Please contact us from ""Support"" → ""Inquiries"" on the official website.",SYSTEM_WARNING,1
BATTLEREPORT_ERROR,0,The battle_report_start_notify notification has not arrived!,SYSTEM_WARNING,
BATTLEREPORT_ERROR,1,"The report needs action"","" but no action is coming!",SYSTEM_WARNING,
DROP_ITEM,-204,The number of items to discard is invalid.,SYSTEM_WARNING,
DROP_ITEM,-206,Items that are equipped cannot be discarded.,SYSTEM_WARNING,
DROP_ITEM,-208,%s is cursed and cannot be thrown away.,SYSTEM_WARNING,
DROP_ITEM,-211,It is an item that cannot be thrown away.,SYSTEM_WARNING,
DROP_ITEM,0,Discarded %s.,SYSTEM_NOTIFY,
DROP_ITEM,GENERIC,It is an item that cannot be thrown away.,SYSTEM_WARNING,
DROP_ITEM,10,There is no item I tried to throw away.,SYSTEM_WARNING,
DROP_ITEM,-3001,Items cannot be thrown away while the stalls are open.,SYSTEM_WARNING,
ROOKIE,0,No damage due to beginner protection,SYSTEM_WARNING,
ROOKIE,1,%s does not cause damage due to beginner protection function,SYSTEM_WARNING,
#Logs around the battle,,,,
SELF_DAMAGE,1,Received %2%d HP damage from%1%s,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,2,Received %d HP damage,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,3,?? Received %d HP damage from,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,4,Received %2%d HP damage instead of %1%s,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,11,Hard hit! Received %2%d HP damage from%1%s,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,12,Hard hit! Received %d HP damage,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,13,Hard hit! ?? Received %d HP damage from,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,14,Hard hit! Received %2%d HP damage instead of %1%s,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,21,critical hit! Received %2%d HP damage from%1%s,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,22,critical hit! Received %d HP damage,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,23,critical hit! ?? Received %d HP damage from,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,24,critical hit! Received %2%d HP damage instead of %1%s,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,31,guard! Received %2%d HP damage from%1%s,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,32,guard! Received %d HP damage,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,33,guard! ?? Received %d HP damage from,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,34,guard! Received %2%d HP damage instead of %1%s,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,41,Guard break! Received %2%d HP damage from%1%s,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,42,Guard break! Received %d HP damage,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,43,Guard break! ?? Received %d HP damage from,ENEMY_ATTACK_HPDAMAGE,
SELF_DAMAGE,44,Guard break! Received %2%d HP damage instead of %1%s,ENEMY_ATTACK_HPDAMAGE,
ENEMY_DAMAGE,1,Inflicted %2%d HP damage on %1%s,SELF_ATTACK_HPDAMAGE,
ENEMY_DAMAGE,11,Hard hit! Inflicted %2%d HP damage on %1%s,SELF_ATTACK_HPDAMAGE,
ENEMY_DAMAGE,21,critical hit! Inflicted %2%d HP damage on %1%s,SELF_ATTACK_HPDAMAGE,
ENEMY_DAMAGE,31,guard! Inflicted %2%d HP damage on %1%s,SELF_ATTACK_HPDAMAGE,
ENEMY_DAMAGE,41,Guard break! Inflicted %2%d HP damage on %1%s,SELF_ATTACK_HPDAMAGE,
ENEMY_DAMAGE,2,%1%s dealt %3%d HP damage to %2%s,PARTY_ATTACK_HPDAMAGE,
ENEMY_DAMAGE,12,Hard hit! %1%s dealt %3%d HP damage to %2%s,PARTY_ATTACK_HPDAMAGE,
ENEMY_DAMAGE,22,critical hit! %1%s dealt %3%d HP damage to %2%s,PARTY_ATTACK_HPDAMAGE,
ENEMY_DAMAGE,32,guard! %1%s dealt %3%d HP damage to %2%s,PARTY_ATTACK_HPDAMAGE,
ENEMY_DAMAGE,42,Guard break! %1%s dealt %3%d HP damage to %2%s,PARTY_ATTACK_HPDAMAGE,
PARTY_DAMAGE,1,%1%s received %3%d HP damage from%2%s,ENEMY_ATTACK_PTHPDAMAGE,
PARTY_DAMAGE,2,%1%s received %2%d HP damage,ENEMY_ATTACK_PTHPDAMAGE,
PARTY_DAMAGE,11,Hard hit! %1%s received %3%d HP damage from%2%s,ENEMY_ATTACK_PTHPDAMAGE,
PARTY_DAMAGE,12,Hard hit! %1%s received %2%d HP damage,ENEMY_ATTACK_PTHPDAMAGE,
PARTY_DAMAGE,21,critical hit! %1%s received %3%d HP damage from%2%s,ENEMY_ATTACK_PTHPDAMAGE,
PARTY_DAMAGE,22,critical hit! %1%s received %2%d HP damage,ENEMY_ATTACK_PTHPDAMAGE,
PARTY_DAMAGE,31,guard! %1%s received %3%d HP damage from%2%s,ENEMY_ATTACK_PTHPDAMAGE,
PARTY_DAMAGE,32,guard! %1%s received %2%d HP damage,ENEMY_ATTACK_PTHPDAMAGE,
PARTY_DAMAGE,41,Guard break! %1%s received %3%d HP damage from%2%s,ENEMY_ATTACK_PTHPDAMAGE,
PARTY_DAMAGE,42,Guard break! %1%s received %2%d HP damage,ENEMY_ATTACK_PTHPDAMAGE,
SELF_ACDAMAGE,1,Received %2%d GP damage from%1%s,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,2,Received %d GP damage,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,3,?? Received %d GP damage from,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,11,Hard hit! Received %2%d GP damage from%1%s,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,12,Hard hit! Received %d GP damage,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,13,Hard hit! ?? Received %d GP damage from,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,21,critical hit! Received %2%d GP damage from%1%s,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,22,critical hit! Received %d GP damage,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,23,critical hit! ?? Received %d GP damage from,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,31,guard! Received %2%d GP damage from%1%s,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,32,guard! Received %d GP damage,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,33,guard! ?? Received %d GP damage from,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,41,Guard break! Received %2%d GP damage from%1%s,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,42,Guard break! Received %d GP damage,ENEMY_ATTACK_AC DAMAGE,
SELF_ACDAMAGE,43,Guard break! ?? Received %d GP damage from,ENEMY_ATTACK_AC DAMAGE,
ENEMY_ACDAMAGE,1,Inflicted %2%d GP damage on %1%s,SELF_ATTACK_AC DAMAGE,
ENEMY_ACDAMAGE,11,Hard hit! Inflicted %2%d GP damage on %1%s,SELF_ATTACK_AC DAMAGE,
ENEMY_ACDAMAGE,21,critical hit! Inflicted %2%d GP damage on %1%s,SELF_ATTACK_AC DAMAGE,
ENEMY_ACDAMAGE,31,guard! Inflicted %2%d GP damage on %1%s,SELF_ATTACK_AC DAMAGE,
ENEMY_ACDAMAGE,41,Guard break! Inflicted %2%d GP damage on %1%s,SELF_ATTACK_AC DAMAGE,
ENEMY_ACDAMAGE,2,%1%s dealt %3%d GP damage to %2%s,PARTY_ATTACK_AC DAMAGE,
ENEMY_ACDAMAGE,12,Hard hit! %1%s dealt %3%d GP damage to %2%s,PARTY_ATTACK_AC DAMAGE,
ENEMY_ACDAMAGE,22,critical hit! %1%s dealt %3%d GP damage to %2%s,PARTY_ATTACK_AC DAMAGE,
ENEMY_ACDAMAGE,32,guard! %1%s dealt %3%d GP damage to %2%s,PARTY_ATTACK_AC DAMAGE,
ENEMY_ACDAMAGE,42,Guard break! %1%s dealt %3%d GP damage to %2%s,PARTY_ATTACK_AC DAMAGE,
PARTY_ACDAMAGE,1,%1%s received %3%d GP damage from%2%s,ENEMY_ATTACK_PTAC DAMAGE,
PARTY_ACDAMAGE,2,%1%s received %2%d GP damage,ENEMY_ATTACK_PTAC DAMAGE,
PARTY_ACDAMAGE,11,Hard hit! %1%s received %3%d GP damage from%2%s,ENEMY_ATTACK_PTAC DAMAGE,
PARTY_ACDAMAGE,12,Hard hit! %1%s received %2%d GP damage,ENEMY_ATTACK_PTAC DAMAGE,
PARTY_ACDAMAGE,21,critical hit! %1%s received %3%d GP damage from%2%s,ENEMY_ATTACK_PTAC DAMAGE,
PARTY_ACDAMAGE,22,critical hit! %1%s received %2%d GP damage,ENEMY_ATTACK_PTAC DAMAGE,
PARTY_ACDAMAGE,31,guard! %1%s received %3%d GP damage from%2%s,ENEMY_ATTACK_PTAC DAMAGE,
PARTY_ACDAMAGE,32,guard! %1%s received %2%d GP damage,ENEMY_ATTACK_PTAC DAMAGE,
PARTY_ACDAMAGE,41,Guard break! %1%s received %3%d GP damage from%2%s,ENEMY_ATTACK_PTAC DAMAGE,
PARTY_ACDAMAGE,42,Guard break! %1%s received %2%d GP damage,ENEMY_ATTACK_PTAC DAMAGE,
SELF_MPDAMAGE,1,Received %2%d MP damage from%1%s,ENEMY_ATTACK_MPDAMAGE,
SELF_MPDAMAGE,2,Received %d MP damage,ENEMY_ATTACK_MPDAMAGE,
